,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.4243,0.4548,0.4706,0.471,0.4776,0.4923,0.491,0.4972,0.4882,0.4991,0.4915,0.4941,0.5001,0.4934,0.4972,0.4883,0.4937,0.4835,0.4917,0.4766,0.4918,0.4791,0.4931,0.4819,0.4956,0.4785,0.4934,0.4783,0.488,0.4682,0.4831,0.4409,0.4873,0.4456,0.4811,0.4323,0.4797,0.441,0.4817,0.4022,0.4765,0.4076,0.478,0.3867,0.4707,0.4705
1,0.4278,0.4438,0.464,0.4791,0.4821,0.4854,0.4873,0.4961,0.4869,0.4964,0.4988,0.4924,0.4966,0.4865,0.4946,0.4921,0.4955,0.4855,0.4931,0.4798,0.4936,0.4812,0.4907,0.486,0.4907,0.4695,0.4914,0.4586,0.4868,0.4666,0.4909,0.4616,0.492,0.455,0.4887,0.4557,0.4778,0.4507,0.4892,0.4252,0.4778,0.4169,0.476,0.349,0.4538,0.4635
2,0.4245,0.4506,0.4724,0.4799,0.4887,0.4824,0.5008,0.4976,0.4973,0.4985,0.502,0.5011,0.4979,0.4966,0.5038,0.4927,0.4976,0.4901,0.5005,0.4877,0.5013,0.4852,0.4978,0.4758,0.495,0.4804,0.4964,0.4694,0.4928,0.4624,0.4869,0.4679,0.494,0.4662,0.4929,0.4525,0.4821,0.436,0.4789,0.4209,0.4815,0.4071,0.4762,0.3807,0.4553,0.458
3,0.4322,0.4582,0.4695,0.4807,0.4847,0.4859,0.4884,0.4941,0.4887,0.4919,0.4955,0.4906,0.4996,0.4894,0.4956,0.4939,0.4946,0.4881,0.4966,0.4753,0.4925,0.478,0.4866,0.4819,0.4892,0.4722,0.4942,0.4737,0.4945,0.4561,0.4835,0.444,0.4879,0.4495,0.489,0.4522,0.485,0.4431,0.4769,0.4095,0.4794,0.4326,0.4803,0.3658,0.4619,0.4739
4,0.4185,0.4512,0.457,0.4708,0.4701,0.4789,0.4797,0.4852,0.4857,0.4886,0.4933,0.4893,0.4954,0.4876,0.4928,0.4863,0.4954,0.4795,0.4964,0.485,0.4857,0.4739,0.4826,0.4798,0.4921,0.4725,0.4852,0.4647,0.4904,0.4619,0.494,0.463,0.4865,0.4615,0.478,0.4403,0.4788,0.4296,0.4774,0.429,0.4796,0.4154,0.4728,0.3743,0.4593,0.4648
5,0.4276,0.4618,0.4688,0.4774,0.4865,0.4864,0.4934,0.4901,0.489,0.495,0.4973,0.4933,0.496,0.4974,0.501,0.4947,0.5013,0.4893,0.5001,0.4947,0.4956,0.4933,0.4948,0.4721,0.4918,0.4802,0.4946,0.476,0.4936,0.4714,0.4939,0.4717,0.4848,0.4642,0.4865,0.4572,0.4892,0.45,0.4834,0.4357,0.4746,0.425,0.47,0.3865,0.4552,0.4583
6,0.4287,0.4554,0.471,0.4813,0.4784,0.4817,0.4807,0.4932,0.4922,0.4884,0.4987,0.4941,0.4953,0.4902,0.5002,0.4865,0.4976,0.4828,0.4944,0.4817,0.4967,0.4802,0.4931,0.4813,0.4953,0.4743,0.4973,0.469,0.4918,0.4643,0.491,0.4539,0.4862,0.4462,0.4859,0.441,0.4892,0.4454,0.4802,0.4239,0.4739,0.3925,0.4734,0.3651,0.4597,0.4645
7,0.4246,0.4593,0.4631,0.4762,0.4782,0.4884,0.4882,0.4884,0.4944,0.4904,0.4948,0.4933,0.4889,0.488,0.4958,0.4852,0.5003,0.4854,0.5011,0.4877,0.4979,0.4776,0.4923,0.4779,0.4951,0.4667,0.4818,0.4798,0.4897,0.4593,0.4926,0.4621,0.4865,0.4528,0.4945,0.4427,0.48,0.4541,0.481,0.4403,0.4754,0.4233,0.4763,0.3475,0.4487,0.4505
8,0.424,0.4558,0.4755,0.4768,0.482,0.4869,0.4894,0.4943,0.4917,0.4923,0.5011,0.4962,0.4957,0.4851,0.4959,0.4815,0.4993,0.4885,0.499,0.4787,0.5023,0.4875,0.4906,0.4651,0.4895,0.4774,0.4881,0.4734,0.4871,0.4605,0.4902,0.4551,0.488,0.4417,0.4782,0.4529,0.4783,0.4264,0.4785,0.4388,0.4793,0.4137,0.4716,0.3595,0.4569,0.4615
9,0.4239,0.4539,0.4668,0.471,0.4843,0.4859,0.4861,0.4917,0.4891,0.4923,0.4875,0.4914,0.4972,0.4945,0.4914,0.48,0.4941,0.493,0.497,0.485,0.492,0.4746,0.4958,0.4739,0.4863,0.4699,0.4904,0.4697,0.486,0.4671,0.4937,0.4524,0.4897,0.4491,0.4853,0.4462,0.4816,0.4486,0.4878,0.4328,0.4743,0.4045,0.4696,0.3823,0.4547,0.4605
