,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.4317,0.459,0.4698,0.4695,0.4871,0.4796,0.4912,0.4903,0.4927,0.4952,0.4978,0.4961,0.4927,0.4953,0.4952,0.4884,0.4959,0.4842,0.488,0.473,0.4947,0.4583,0.4808,0.4131,0.4596,0.4718
1,0.4188,0.4525,0.4616,0.4797,0.479,0.4852,0.4926,0.4982,0.4827,0.5009,0.4995,0.4979,0.4912,0.4875,0.4969,0.4851,0.4924,0.4847,0.4927,0.4757,0.4933,0.4616,0.4891,0.42,0.4722,0.4758
2,0.4224,0.4573,0.4641,0.4743,0.4786,0.4855,0.4898,0.4969,0.4905,0.4933,0.4937,0.4956,0.49,0.4841,0.4909,0.492,0.4973,0.4874,0.4948,0.4754,0.4995,0.4632,0.4827,0.4194,0.4676,0.477
3,0.426,0.4514,0.4684,0.4706,0.4782,0.4875,0.4887,0.494,0.4929,0.5033,0.4962,0.5009,0.5024,0.4988,0.4897,0.4902,0.4929,0.4779,0.4922,0.4751,0.4961,0.4533,0.4823,0.4153,0.4748,0.4795
4,0.4239,0.4512,0.4585,0.4709,0.4802,0.4883,0.4895,0.4954,0.4924,0.4972,0.495,0.497,0.4959,0.4953,0.4911,0.4859,0.4956,0.4801,0.4992,0.4828,0.4947,0.4624,0.4853,0.433,0.4757,0.4857
5,0.4348,0.4569,0.4687,0.477,0.4787,0.486,0.4823,0.4924,0.4848,0.4855,0.4907,0.4919,0.4898,0.4878,0.4897,0.4759,0.484,0.4808,0.4863,0.4687,0.4923,0.464,0.4854,0.4347,0.4719,0.4803
6,0.4258,0.4594,0.4662,0.4723,0.4814,0.4847,0.4846,0.4933,0.4941,0.4959,0.4935,0.4962,0.493,0.4994,0.4921,0.4847,0.4908,0.4781,0.4914,0.4774,0.4911,0.4549,0.4876,0.4083,0.4689,0.4794
7,0.426,0.4593,0.461,0.4791,0.4858,0.4827,0.4926,0.499,0.4954,0.4991,0.4958,0.496,0.4976,0.4937,0.502,0.4852,0.494,0.4866,0.4933,0.4677,0.4944,0.4553,0.4866,0.4198,0.4733,0.4705
8,0.422,0.4516,0.4687,0.471,0.4782,0.4833,0.4914,0.4973,0.4859,0.4929,0.4982,0.4957,0.4925,0.4951,0.4939,0.4874,0.4971,0.4727,0.4869,0.4684,0.4834,0.4574,0.4797,0.4191,0.4666,0.4757
9,0.4252,0.4474,0.4613,0.476,0.4745,0.4856,0.4836,0.4866,0.4922,0.497,0.4953,0.4985,0.4967,0.4912,0.4906,0.4876,0.495,0.4918,0.4912,0.485,0.4966,0.4563,0.4755,0.4261,0.475,0.4767
