,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,0.4241,0.4542,0.4649,0.4745,0.4733,0.4815,0.4881,0.4884,0.4934,0.4909,0.4916,0.4927,0.4918,0.496,0.4921,0.4922,0.492,0.4942,0.4928,0.4973,0.4941,0.4968,0.4967,0.4904,0.4981,0.4857,0.4895,0.4869,0.4986,0.4884,0.4887,0.4897,0.4897,0.491,0.4916,0.4876,0.4874,0.4845,0.4904,0.4794,0.4809,0.4741,0.486,0.4768,0.4855,0.4722,0.4905,0.4765,0.4883,0.4779,0.4849,0.4751,0.483,0.4735,0.4749,0.465,0.4786,0.465,0.481,0.4626,0.4789,0.4556,0.4781,0.4673,0.4775,0.4642,0.4815,0.4654,0.4729,0.4657,0.4748,0.453,0.4733,0.4563,0.4757,0.452,0.4775,0.4538,0.4777,0.4589,0.479,0.4482,0.4683,0.4361,0.4719,0.4479,0.4724,0.4471,0.4749,0.4502,0.4767,0.4449,0.4649,0.4453,0.468,0.4082,0.4523,0.4116,0.463,0.3857,0.4474,0.3929,0.4462,0.3875,0.4385,0.4401
1,0.4254,0.4586,0.4711,0.478,0.4809,0.4875,0.4875,0.489,0.4868,0.4969,0.4934,0.4964,0.4869,0.4953,0.488,0.4981,0.494,0.4942,0.4954,0.4893,0.4947,0.4934,0.4934,0.4922,0.4919,0.4928,0.5036,0.4898,0.4969,0.488,0.4926,0.4933,0.495,0.4889,0.4948,0.4857,0.4929,0.4895,0.4917,0.4893,0.4898,0.4854,0.49,0.482,0.4951,0.4846,0.4898,0.4886,0.4899,0.4744,0.4885,0.4784,0.4876,0.4733,0.4853,0.4663,0.4901,0.4782,0.4825,0.4687,0.4791,0.4697,0.4872,0.4665,0.4847,0.4698,0.4788,0.4752,0.4842,0.4584,0.4853,0.4605,0.4751,0.4681,0.4857,0.4653,0.4814,0.4647,0.4812,0.4513,0.4791,0.4538,0.4783,0.4525,0.4778,0.4552,0.4774,0.4565,0.4746,0.4345,0.4792,0.4481,0.4734,0.4266,0.467,0.422,0.4615,0.4,0.4566,0.4024,0.46,0.3875,0.4424,0.3152,0.4201,0.4261
2,0.4219,0.4532,0.4669,0.4719,0.4789,0.4853,0.482,0.49,0.4941,0.4928,0.4833,0.4918,0.4902,0.4888,0.4942,0.4881,0.4948,0.4933,0.491,0.4867,0.4881,0.4925,0.4872,0.4879,0.4961,0.4915,0.489,0.4806,0.4866,0.4874,0.4786,0.492,0.4914,0.489,0.4873,0.4775,0.4873,0.4845,0.4924,0.4855,0.4896,0.482,0.4855,0.4732,0.4834,0.4762,0.4851,0.4756,0.4784,0.4782,0.4823,0.4707,0.4864,0.4701,0.4829,0.472,0.4874,0.4747,0.4825,0.4707,0.4844,0.4616,0.4816,0.4636,0.474,0.4614,0.4866,0.4606,0.4833,0.4617,0.4742,0.4607,0.477,0.4532,0.4795,0.4633,0.4707,0.4552,0.4728,0.4577,0.4773,0.452,0.4749,0.4508,0.4717,0.4447,0.4746,0.4486,0.4751,0.4467,0.474,0.4233,0.4656,0.4191,0.4649,0.4257,0.4683,0.4089,0.4687,0.3969,0.4532,0.4121,0.4558,0.3443,0.4215,0.4317
3,0.4197,0.4497,0.4713,0.4792,0.4805,0.4856,0.4929,0.4924,0.4932,0.4962,0.4957,0.4979,0.4893,0.5006,0.4965,0.4957,0.495,0.4982,0.4913,0.493,0.4965,0.4892,0.4972,0.4869,0.4969,0.4927,0.4941,0.4939,0.4959,0.4897,0.4922,0.4876,0.4928,0.4868,0.4885,0.4848,0.494,0.4846,0.4924,0.4849,0.4905,0.4813,0.4853,0.4785,0.4885,0.4868,0.4874,0.4703,0.4858,0.4672,0.4939,0.4742,0.4864,0.4747,0.493,0.4704,0.4879,0.4737,0.4859,0.4637,0.4814,0.4614,0.4768,0.4617,0.485,0.4705,0.4881,0.4642,0.4837,0.4627,0.4796,0.466,0.4851,0.4667,0.4824,0.4573,0.4755,0.4369,0.4734,0.4512,0.4824,0.4507,0.4773,0.4381,0.4775,0.4447,0.4747,0.4335,0.4721,0.4298,0.4702,0.4371,0.4713,0.4247,0.4654,0.4225,0.468,0.4189,0.4678,0.3927,0.455,0.3748,0.4452,0.3772,0.4347,0.4349
4,0.4373,0.4514,0.4541,0.4623,0.47,0.4793,0.4779,0.4786,0.4856,0.4818,0.4866,0.4941,0.4841,0.4951,0.4874,0.4894,0.4915,0.4881,0.4886,0.4888,0.4972,0.491,0.4877,0.4942,0.4949,0.4886,0.4888,0.4929,0.4894,0.4807,0.4915,0.4843,0.4911,0.4839,0.4902,0.4875,0.4853,0.4834,0.4895,0.4863,0.4879,0.4832,0.4855,0.4796,0.4867,0.4756,0.4866,0.4758,0.4849,0.4778,0.4883,0.4643,0.4796,0.4679,0.4901,0.4747,0.4886,0.467,0.4864,0.4745,0.4847,0.4771,0.4805,0.4675,0.4848,0.4637,0.4822,0.4635,0.4828,0.468,0.4819,0.4584,0.4794,0.4558,0.4742,0.4553,0.4794,0.4468,0.4767,0.4594,0.4788,0.4576,0.4678,0.4392,0.4689,0.4392,0.4731,0.4376,0.4693,0.4498,0.4701,0.4376,0.4668,0.3977,0.4607,0.4056,0.4598,0.4057,0.4615,0.355,0.4426,0.374,0.4366,0.3377,0.4059,0.4143
5,0.4192,0.449,0.4705,0.4798,0.4801,0.4908,0.4838,0.4992,0.4869,0.4977,0.4916,0.4996,0.5009,0.4962,0.4956,0.4942,0.4944,0.4943,0.5004,0.496,0.498,0.4898,0.496,0.4949,0.483,0.4856,0.4861,0.4892,0.4929,0.4893,0.4935,0.4825,0.4869,0.486,0.4892,0.4807,0.4906,0.4823,0.4906,0.4862,0.4913,0.4681,0.4863,0.4809,0.4868,0.4818,0.4865,0.4718,0.4839,0.4701,0.4831,0.4775,0.4785,0.4697,0.484,0.4677,0.483,0.4711,0.4806,0.4678,0.4757,0.4673,0.4818,0.4611,0.4762,0.4612,0.4779,0.4585,0.4789,0.4658,0.4815,0.451,0.4694,0.4502,0.4794,0.455,0.479,0.4502,0.4692,0.4328,0.4719,0.4501,0.4771,0.4405,0.47,0.4519,0.4736,0.4398,0.4702,0.4288,0.4638,0.4216,0.4644,0.4212,0.4672,0.4167,0.4631,0.4099,0.4574,0.3884,0.4558,0.3508,0.4359,0.3305,0.4241,0.4336
6,0.4312,0.4597,0.475,0.475,0.482,0.4883,0.4915,0.4919,0.4948,0.4954,0.4908,0.4936,0.4994,0.493,0.4964,0.495,0.4953,0.5027,0.4908,0.5003,0.5007,0.4969,0.4919,0.4936,0.4974,0.4896,0.4964,0.4923,0.4839,0.4932,0.4946,0.4902,0.4981,0.489,0.4894,0.4913,0.4983,0.4846,0.4922,0.486,0.4928,0.4842,0.4957,0.478,0.4833,0.4798,0.4878,0.4774,0.4944,0.4801,0.4888,0.4736,0.4881,0.4752,0.4852,0.4707,0.4889,0.4726,0.4843,0.4819,0.4896,0.4765,0.4898,0.4618,0.485,0.471,0.487,0.4625,0.4844,0.4629,0.4789,0.4677,0.4814,0.459,0.479,0.4633,0.475,0.456,0.475,0.4605,0.4761,0.4523,0.4704,0.4533,0.4777,0.4483,0.4684,0.4467,0.4752,0.4356,0.4714,0.4279,0.4613,0.4288,0.4719,0.4197,0.4573,0.4064,0.4645,0.3824,0.4483,0.3952,0.4446,0.3157,0.4276,0.4312
7,0.4282,0.4559,0.4698,0.47,0.4839,0.4816,0.4869,0.4941,0.4997,0.4916,0.4943,0.4997,0.4972,0.4951,0.497,0.4989,0.4935,0.4934,0.4935,0.4973,0.4952,0.4938,0.4968,0.4949,0.4949,0.483,0.4998,0.4892,0.4931,0.483,0.4922,0.4844,0.4959,0.4858,0.4923,0.4825,0.4883,0.4829,0.4888,0.4954,0.4898,0.4761,0.4893,0.4773,0.4863,0.4818,0.4881,0.4759,0.488,0.4753,0.487,0.4752,0.4936,0.4787,0.488,0.4668,0.4859,0.4739,0.494,0.4725,0.4856,0.4694,0.4843,0.4718,0.4847,0.4732,0.4836,0.4601,0.4859,0.466,0.4834,0.4611,0.477,0.4542,0.4808,0.4698,0.4803,0.4549,0.4839,0.4626,0.4825,0.436,0.4822,0.4302,0.4796,0.4487,0.4749,0.4315,0.4761,0.4254,0.4692,0.4454,0.472,0.4229,0.4638,0.4218,0.4599,0.3771,0.4522,0.4075,0.4598,0.3932,0.4438,0.3511,0.4332,0.4391
8,0.4336,0.4651,0.4633,0.4677,0.4766,0.4874,0.4842,0.4959,0.4926,0.4892,0.4949,0.4917,0.4907,0.5013,0.4939,0.496,0.4994,0.4961,0.4947,0.4949,0.4971,0.4906,0.4955,0.4938,0.4884,0.4924,0.4929,0.487,0.4974,0.4887,0.4941,0.483,0.4922,0.4903,0.4896,0.4856,0.4922,0.4833,0.4874,0.4819,0.492,0.4844,0.4846,0.4777,0.4875,0.4777,0.4878,0.4869,0.4891,0.4802,0.4849,0.478,0.4839,0.4781,0.4816,0.4791,0.4862,0.4733,0.4774,0.474,0.4829,0.4738,0.4832,0.4705,0.4785,0.4684,0.4801,0.472,0.4786,0.458,0.4793,0.4639,0.4791,0.4643,0.482,0.4538,0.4811,0.4617,0.4762,0.4588,0.478,0.4538,0.4774,0.46,0.4786,0.4528,0.4839,0.4445,0.472,0.4421,0.4731,0.4348,0.4727,0.4372,0.4657,0.4441,0.4752,0.423,0.4631,0.4237,0.4607,0.389,0.4498,0.357,0.4317,0.4349
9,0.4272,0.4526,0.4651,0.4729,0.4787,0.4871,0.4913,0.4874,0.4865,0.4925,0.4903,0.4934,0.4884,0.4956,0.4947,0.4892,0.4939,0.4932,0.494,0.4983,0.4968,0.4944,0.4897,0.4938,0.4975,0.4906,0.5,0.491,0.4915,0.4875,0.4956,0.4881,0.4902,0.4929,0.488,0.4856,0.4876,0.4841,0.4902,0.4898,0.4919,0.492,0.4914,0.4867,0.4954,0.482,0.4903,0.4899,0.4867,0.4805,0.4846,0.4784,0.4886,0.4806,0.4889,0.4792,0.4845,0.482,0.4896,0.476,0.4861,0.4719,0.4855,0.4684,0.4855,0.4707,0.4827,0.467,0.4819,0.4686,0.486,0.4617,0.4763,0.4634,0.4802,0.4572,0.4831,0.4574,0.4736,0.4555,0.4772,0.451,0.4741,0.4477,0.4742,0.4479,0.4731,0.4531,0.4735,0.4429,0.4678,0.4449,0.4693,0.4231,0.4666,0.4358,0.4676,0.3953,0.4557,0.3785,0.454,0.3845,0.446,0.3365,0.4073,0.4212
