,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.8507,0.8613,0.8666,0.8649,0.8684,0.8727,0.8751,0.8737,0.8765,0.8722,0.8774,0.8707,0.8789,0.8691,0.8803,0.8591,0.8758,0.8598,0.8747,0.8625,0.8763,0.8596,0.8766,0.8577,0.8808,0.8573,0.8766,0.8407,0.8776,0.8524,0.874,0.8578,0.8762,0.8232,0.8738,0.8257,0.8732,0.8162,0.8689,0.8024,0.8697,0.8132,0.8658,0.6321,0.8593,0.8579
1,0.8498,0.8596,0.8617,0.8695,0.871,0.8754,0.8735,0.877,0.8758,0.8711,0.8766,0.8709,0.8765,0.8678,0.8768,0.8749,0.878,0.8632,0.8772,0.8623,0.878,0.8582,0.8781,0.8547,0.8763,0.8624,0.8801,0.8575,0.8794,0.8529,0.873,0.8537,0.8761,0.8358,0.8721,0.8319,0.8718,0.7787,0.8727,0.8071,0.8721,0.8072,0.8668,0.6051,0.8499,0.8554
2,0.84,0.8595,0.8635,0.8628,0.8675,0.8702,0.8743,0.8713,0.8731,0.8656,0.8766,0.8718,0.8756,0.8684,0.8768,0.8667,0.8752,0.8681,0.8719,0.8582,0.8764,0.8549,0.8753,0.8597,0.8756,0.8607,0.8768,0.852,0.8756,0.8476,0.8739,0.8335,0.8737,0.8533,0.8757,0.8252,0.8722,0.8103,0.8662,0.7082,0.8644,0.711,0.8575,0.5769,0.8583,0.866
3,0.849,0.8587,0.8641,0.8672,0.8729,0.8741,0.8744,0.8774,0.8749,0.8741,0.875,0.8698,0.8819,0.8696,0.8764,0.8744,0.8797,0.8676,0.8738,0.865,0.8747,0.8624,0.8769,0.8593,0.8718,0.8458,0.8777,0.8509,0.8727,0.8444,0.8716,0.8402,0.8766,0.84,0.8743,0.8213,0.8743,0.8324,0.869,0.8278,0.8722,0.7616,0.8719,0.6348,0.8563,0.8644
4,0.8525,0.8626,0.8653,0.8686,0.8709,0.8726,0.8756,0.8733,0.875,0.8748,0.8796,0.87,0.8756,0.8696,0.8765,0.8646,0.8747,0.8659,0.8785,0.8608,0.8792,0.8598,0.877,0.8561,0.875,0.8557,0.877,0.8355,0.8756,0.8391,0.8748,0.8436,0.8766,0.8229,0.8726,0.8469,0.8714,0.8345,0.8663,0.7797,0.8667,0.8002,0.8705,0.6671,0.8611,0.8643
5,0.852,0.8606,0.8704,0.8725,0.8721,0.8741,0.87,0.8765,0.8711,0.8764,0.8768,0.8691,0.8771,0.8737,0.8768,0.8641,0.8746,0.8719,0.8789,0.8625,0.8741,0.8637,0.8731,0.8557,0.8788,0.8667,0.8758,0.8437,0.877,0.8459,0.8768,0.8281,0.8691,0.8347,0.8739,0.8463,0.8773,0.8057,0.8757,0.7988,0.8648,0.7736,0.865,0.7167,0.8575,0.8635
6,0.8556,0.8628,0.8689,0.8708,0.872,0.875,0.8762,0.8744,0.878,0.8743,0.8767,0.874,0.8779,0.8746,0.8771,0.8699,0.8713,0.8654,0.8789,0.866,0.8771,0.8602,0.8789,0.8668,0.8774,0.8463,0.8757,0.8565,0.8737,0.852,0.8789,0.8448,0.8738,0.8325,0.8704,0.8144,0.8678,0.7486,0.871,0.8054,0.8631,0.7683,0.8685,0.7584,0.8602,0.8607
7,0.8511,0.8587,0.8632,0.87,0.8663,0.8707,0.8706,0.8707,0.8712,0.872,0.8736,0.8707,0.8742,0.866,0.8788,0.865,0.8761,0.8669,0.8745,0.8624,0.8775,0.8638,0.8743,0.8367,0.8688,0.85,0.8711,0.8355,0.874,0.8519,0.8753,0.844,0.8745,0.8435,0.8644,0.8336,0.8694,0.8137,0.8662,0.7823,0.8662,0.8041,0.8647,0.6868,0.8572,0.8616
8,0.853,0.8603,0.8642,0.869,0.8711,0.8709,0.8689,0.8772,0.8745,0.8731,0.8757,0.8711,0.8763,0.8688,0.8772,0.8634,0.8703,0.8641,0.8757,0.8567,0.8765,0.8627,0.8734,0.8616,0.8788,0.8566,0.8752,0.8557,0.8744,0.8584,0.8725,0.8275,0.8769,0.8411,0.8711,0.8221,0.8734,0.7969,0.8728,0.8122,0.8637,0.796,0.8617,0.7682,0.8557,0.8604
9,0.8477,0.8612,0.8691,0.8686,0.871,0.8735,0.8778,0.8743,0.8777,0.8713,0.8761,0.8719,0.8786,0.8719,0.8782,0.8702,0.8808,0.8649,0.8766,0.8657,0.8771,0.861,0.8772,0.8554,0.8743,0.8559,0.8757,0.8411,0.8788,0.8492,0.876,0.8309,0.8753,0.8405,0.8744,0.8389,0.8765,0.8253,0.8734,0.8182,0.8683,0.715,0.8577,0.6506,0.8512,0.8568
