,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,0.8499,0.858,0.8662,0.8694,0.8723,0.8731,0.8764,0.8798,0.8763,0.8791,0.8762,0.8786,0.8784,0.8826,0.8825,0.8814,0.8736,0.8786,0.8773,0.8796,0.8814,0.8803,0.8803,0.8779,0.8785,0.8792,0.8787,0.8792,0.881,0.8807,0.8788,0.8781,0.8778,0.8768,0.8837,0.8731,0.8807,0.8745,0.8757,0.8744,0.876,0.8747,0.8776,0.8737,0.8748,0.8738,0.883,0.874,0.8753,0.8726,0.8793,0.8731,0.8785,0.8732,0.8807,0.8712,0.8793,0.8663,0.8772,0.8698,0.8756,0.8713,0.8785,0.8731,0.8769,0.8699,0.8794,0.8716,0.8806,0.8603,0.8754,0.8623,0.8768,0.8646,0.8752,0.8627,0.8786,0.8641,0.8753,0.8614,0.8783,0.8629,0.8761,0.8554,0.8747,0.8526,0.8738,0.8576,0.8763,0.8489,0.8769,0.8493,0.8702,0.8447,0.8717,0.8527,0.8714,0.8402,0.8662,0.8339,0.8624,0.8186,0.8655,0.6681,0.8588,0.864
1,0.8481,0.8589,0.8647,0.8709,0.8693,0.869,0.8741,0.8751,0.8771,0.8729,0.8769,0.8789,0.8775,0.8829,0.8794,0.8784,0.8805,0.8796,0.8781,0.8777,0.8757,0.8825,0.8802,0.8788,0.8799,0.8798,0.8791,0.8788,0.8757,0.8782,0.8794,0.8795,0.8823,0.8775,0.8795,0.8755,0.8793,0.8763,0.8786,0.874,0.8781,0.8761,0.8814,0.878,0.8789,0.8737,0.8789,0.8733,0.8791,0.869,0.8793,0.8748,0.8793,0.8736,0.8767,0.8735,0.8771,0.8704,0.8779,0.8686,0.8764,0.875,0.8768,0.8689,0.8763,0.8677,0.8778,0.87,0.877,0.8685,0.8763,0.8723,0.8781,0.8663,0.8742,0.8702,0.878,0.8686,0.8748,0.8628,0.8767,0.8658,0.8778,0.8664,0.8748,0.8574,0.8762,0.8553,0.8782,0.8541,0.8756,0.8524,0.8755,0.8545,0.8725,0.8534,0.8698,0.8606,0.8713,0.8473,0.8708,0.8218,0.8539,0.7911,0.8509,0.8551
2,0.8506,0.8617,0.8606,0.8667,0.8701,0.87,0.8695,0.8764,0.8709,0.872,0.8781,0.8766,0.8723,0.8791,0.8805,0.8772,0.8759,0.8787,0.8798,0.8785,0.8755,0.8759,0.8784,0.879,0.8789,0.8736,0.8799,0.8763,0.8789,0.8759,0.8775,0.878,0.881,0.8735,0.876,0.8745,0.8762,0.873,0.8761,0.8736,0.8799,0.8745,0.879,0.8693,0.8759,0.8661,0.8761,0.8748,0.875,0.8686,0.8754,0.8766,0.8775,0.8698,0.8772,0.8736,0.875,0.8645,0.8739,0.8703,0.8768,0.8658,0.8726,0.8694,0.8736,0.8642,0.8749,0.8655,0.8742,0.8624,0.8734,0.864,0.8725,0.8585,0.8708,0.8567,0.8715,0.8646,0.8722,0.8548,0.8656,0.8514,0.8679,0.855,0.8728,0.8529,0.8684,0.8535,0.8685,0.8529,0.8656,0.8597,0.8595,0.8493,0.863,0.8475,0.8669,0.8282,0.8629,0.851,0.8675,0.8298,0.8613,0.8111,0.8554,0.8566
3,0.8489,0.8636,0.8667,0.8685,0.8716,0.8737,0.8739,0.8738,0.8722,0.8783,0.8756,0.8809,0.8798,0.8804,0.8784,0.8809,0.8764,0.8777,0.8778,0.8801,0.8816,0.8807,0.8806,0.8752,0.879,0.8811,0.8777,0.8791,0.8824,0.8788,0.8807,0.8734,0.881,0.8785,0.8822,0.8773,0.8767,0.8737,0.8795,0.8734,0.876,0.8725,0.8787,0.872,0.8767,0.8745,0.876,0.8747,0.8804,0.8754,0.8794,0.8735,0.879,0.8714,0.8808,0.87,0.8804,0.8726,0.88,0.8703,0.8785,0.8719,0.8763,0.8738,0.8775,0.8712,0.8775,0.8622,0.8788,0.8705,0.8789,0.8708,0.8758,0.8616,0.8798,0.8669,0.8807,0.8722,0.8782,0.8514,0.8807,0.8664,0.8771,0.8605,0.8762,0.8618,0.8759,0.8535,0.8711,0.8588,0.8736,0.8527,0.8745,0.8595,0.8705,0.8397,0.8665,0.8316,0.8676,0.8419,0.8693,0.8224,0.8654,0.7779,0.8544,0.8589
4,0.8509,0.8576,0.8639,0.8691,0.8705,0.869,0.8754,0.8762,0.8761,0.8764,0.8774,0.8768,0.881,0.8781,0.8744,0.8753,0.8705,0.8787,0.8775,0.8788,0.8764,0.8763,0.8774,0.8775,0.8776,0.8755,0.8777,0.8762,0.8804,0.8787,0.8758,0.8769,0.8768,0.8705,0.8766,0.8706,0.878,0.8735,0.8741,0.874,0.8776,0.8744,0.8772,0.865,0.8738,0.8662,0.8729,0.8699,0.8766,0.8683,0.8732,0.8669,0.8715,0.8682,0.8761,0.867,0.8745,0.8649,0.8745,0.859,0.8715,0.8647,0.8763,0.865,0.8741,0.8683,0.8717,0.8666,0.8708,0.8657,0.8743,0.8638,0.8712,0.8652,0.873,0.8661,0.8759,0.8628,0.8731,0.8627,0.871,0.856,0.8693,0.8609,0.8722,0.8555,0.8675,0.8555,0.8731,0.8607,0.8693,0.8477,0.867,0.8407,0.8658,0.8429,0.8666,0.8304,0.864,0.8276,0.8658,0.8122,0.8622,0.7974,0.8507,0.8546
5,0.8481,0.86,0.8694,0.8678,0.8734,0.8706,0.8776,0.8777,0.8769,0.8769,0.8782,0.8805,0.8787,0.8764,0.8786,0.8822,0.8769,0.8772,0.882,0.8801,0.8828,0.8777,0.8808,0.8833,0.8797,0.8782,0.8795,0.8799,0.8817,0.8763,0.8784,0.8776,0.878,0.8759,0.8767,0.8787,0.8761,0.8766,0.8782,0.8767,0.8756,0.8761,0.8784,0.8746,0.8805,0.8767,0.8791,0.8695,0.8786,0.8749,0.8777,0.8676,0.8819,0.8758,0.8792,0.87,0.87,0.8675,0.8768,0.87,0.8748,0.8706,0.8793,0.8674,0.8771,0.868,0.8765,0.865,0.8724,0.8612,0.8735,0.8646,0.8758,0.8637,0.8745,0.8617,0.8684,0.8578,0.8706,0.863,0.8751,0.8605,0.8735,0.8634,0.8709,0.8502,0.8699,0.8598,0.8734,0.8469,0.8699,0.851,0.8719,0.8468,0.8673,0.8452,0.8679,0.821,0.8583,0.8308,0.8657,0.8208,0.8604,0.7799,0.8475,0.852
6,0.8507,0.8597,0.8636,0.8704,0.8741,0.8728,0.8747,0.8763,0.8776,0.8783,0.8768,0.878,0.8774,0.8786,0.8773,0.8733,0.8758,0.8764,0.8784,0.8803,0.8809,0.878,0.8761,0.8773,0.88,0.8764,0.8767,0.8775,0.8745,0.8743,0.8773,0.8784,0.8771,0.8763,0.8765,0.8726,0.8771,0.8757,0.8747,0.8733,0.8729,0.8719,0.8759,0.8722,0.8745,0.8728,0.873,0.8697,0.8762,0.8689,0.875,0.8669,0.8765,0.8681,0.8739,0.8715,0.8748,0.8683,0.8782,0.8695,0.8746,0.8671,0.8738,0.8699,0.8743,0.8664,0.875,0.8707,0.8735,0.8641,0.8758,0.8632,0.8739,0.8509,0.872,0.8563,0.8738,0.8585,0.87,0.8643,0.8745,0.8558,0.8722,0.8553,0.873,0.8541,0.8716,0.8573,0.8715,0.8397,0.8679,0.8546,0.8714,0.8421,0.8679,0.8488,0.8711,0.8242,0.8665,0.8375,0.8663,0.821,0.8628,0.7949,0.8535,0.8535
7,0.8494,0.8611,0.8626,0.8688,0.8718,0.8747,0.8778,0.8772,0.8774,0.8788,0.8786,0.878,0.8754,0.8799,0.878,0.8787,0.8803,0.8785,0.8783,0.8775,0.8815,0.8796,0.8777,0.8798,0.882,0.8788,0.8776,0.8775,0.8786,0.879,0.8819,0.8747,0.8766,0.8789,0.8797,0.8766,0.8762,0.875,0.8802,0.8775,0.8794,0.8748,0.8819,0.8771,0.8791,0.872,0.8771,0.8727,0.8766,0.874,0.8779,0.8726,0.8775,0.8712,0.8779,0.8712,0.8807,0.8699,0.8752,0.872,0.878,0.8616,0.8789,0.8618,0.8751,0.8684,0.8737,0.8709,0.8728,0.8649,0.8759,0.8663,0.8765,0.8595,0.8756,0.861,0.8773,0.8636,0.8784,0.8612,0.8727,0.8628,0.8729,0.8508,0.8716,0.8574,0.8728,0.8536,0.8754,0.8577,0.8735,0.8543,0.8717,0.8382,0.8693,0.8358,0.8655,0.8391,0.8633,0.8088,0.8642,0.8282,0.8567,0.8088,0.8495,0.8541
8,0.8458,0.8604,0.8578,0.8694,0.873,0.8736,0.8721,0.8763,0.8739,0.8762,0.8798,0.8796,0.8785,0.8767,0.8797,0.8774,0.8788,0.8774,0.8777,0.88,0.8742,0.8758,0.879,0.8799,0.8798,0.8773,0.8789,0.8779,0.877,0.8773,0.8772,0.8754,0.8794,0.8735,0.879,0.8749,0.8782,0.8739,0.8781,0.8775,0.8776,0.8758,0.8781,0.8763,0.877,0.8722,0.8741,0.872,0.8831,0.8783,0.8754,0.875,0.8778,0.8659,0.8689,0.8687,0.8734,0.87,0.8741,0.8673,0.879,0.8729,0.8788,0.8713,0.8754,0.8704,0.8747,0.8679,0.8802,0.8663,0.8768,0.8621,0.8768,0.868,0.8762,0.862,0.8781,0.8661,0.8808,0.8611,0.8732,0.858,0.8742,0.8631,0.8739,0.865,0.8749,0.8627,0.8732,0.8553,0.8751,0.8592,0.8719,0.8445,0.8712,0.8457,0.8709,0.7931,0.8548,0.8256,0.8659,0.8153,0.8606,0.6732,0.8547,0.8577
9,0.8455,0.8578,0.8625,0.8665,0.8747,0.87,0.8765,0.8747,0.8753,0.8776,0.8799,0.8766,0.8794,0.8826,0.8811,0.879,0.8816,0.8785,0.8737,0.8797,0.8818,0.8789,0.8786,0.8807,0.8786,0.879,0.8823,0.8795,0.8826,0.8805,0.8785,0.8805,0.8747,0.8725,0.8828,0.8753,0.881,0.8745,0.8791,0.8737,0.8763,0.8756,0.8783,0.8793,0.8817,0.8769,0.8795,0.8784,0.8771,0.8756,0.8743,0.8766,0.8787,0.8741,0.8782,0.8718,0.8816,0.8739,0.8778,0.8701,0.8764,0.8717,0.8776,0.8717,0.879,0.869,0.879,0.8685,0.8738,0.8709,0.8806,0.8662,0.8794,0.8636,0.876,0.8666,0.8745,0.8623,0.8732,0.8571,0.8745,0.8661,0.8761,0.8484,0.8746,0.8613,0.8745,0.8568,0.8729,0.8505,0.8735,0.8513,0.8722,0.8336,0.8685,0.8483,0.8719,0.8347,0.8703,0.8245,0.8648,0.8016,0.8607,0.8248,0.8611,0.862
