,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.8505,0.8592,0.8658,0.8693,0.8739,0.8742,0.8694,0.8789,0.8731,0.881,0.8752,0.8791,0.8785,0.8783,0.8766,0.8785,0.8781,0.875,0.8763,0.8669,0.8722,0.8591,0.8716,0.8414,0.8703,0.8674
1,0.8461,0.8612,0.8584,0.87,0.8692,0.8743,0.8715,0.882,0.8717,0.8796,0.8692,0.8804,0.8767,0.8796,0.8799,0.877,0.879,0.876,0.8811,0.8653,0.876,0.8643,0.8756,0.5865,0.864,0.8705
2,0.8446,0.8596,0.8648,0.8671,0.8722,0.8721,0.8732,0.8789,0.8789,0.8792,0.8792,0.8789,0.8764,0.8757,0.881,0.8804,0.8798,0.8723,0.8784,0.8734,0.8804,0.8684,0.878,0.8372,0.87,0.873
3,0.8505,0.8607,0.8706,0.8713,0.8734,0.8715,0.8756,0.8758,0.879,0.8803,0.8759,0.8787,0.8781,0.8759,0.8742,0.8747,0.8773,0.8744,0.8766,0.8642,0.8773,0.8586,0.8765,0.6024,0.8609,0.8664
4,0.8521,0.8638,0.8675,0.8688,0.8694,0.873,0.8752,0.88,0.8772,0.8801,0.877,0.8781,0.8764,0.8768,0.88,0.8757,0.8765,0.8735,0.8777,0.8716,0.8761,0.8616,0.8738,0.8423,0.8624,0.8696
5,0.8534,0.8669,0.8641,0.8708,0.8709,0.875,0.8693,0.8793,0.8717,0.8788,0.879,0.8799,0.8771,0.876,0.872,0.8755,0.8762,0.8722,0.8773,0.8704,0.8758,0.8614,0.8726,0.8313,0.8651,0.8716
6,0.8483,0.8605,0.8665,0.8652,0.8696,0.8743,0.8759,0.8785,0.8745,0.88,0.8795,0.8795,0.8774,0.8787,0.8774,0.8782,0.8775,0.8706,0.8802,0.8783,0.8819,0.8586,0.8732,0.8317,0.8664,0.8731
7,0.8498,0.8549,0.8638,0.8639,0.8694,0.8735,0.8726,0.8765,0.8716,0.8775,0.8746,0.8766,0.8797,0.8763,0.8747,0.8726,0.8774,0.8697,0.8775,0.8667,0.8735,0.8592,0.8745,0.8368,0.8656,0.8685
8,0.8399,0.8584,0.8655,0.8684,0.8696,0.8752,0.8744,0.8796,0.8768,0.8795,0.8752,0.8796,0.8806,0.8778,0.8787,0.8768,0.8799,0.8716,0.8771,0.8677,0.8789,0.8595,0.8708,0.8259,0.8605,0.8654
9,0.8528,0.862,0.8673,0.8666,0.8693,0.8751,0.8723,0.8802,0.8714,0.879,0.8807,0.8785,0.8754,0.8824,0.8811,0.8822,0.8793,0.8763,0.8773,0.8613,0.8779,0.8617,0.8743,0.8229,0.8653,0.8663
