,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.9478,0.9592,0.9631,0.967,0.9673,0.967,0.9694,0.968,0.9722,0.9646,0.9699,0.9568,0.9696,0.9565,0.9692,0.9473,0.9693,0.9276,0.968,0.8144,0.9654,0.7637,0.9656,0.7225,0.953,0.9597
1,0.949,0.9594,0.9649,0.966,0.9689,0.9693,0.9694,0.9667,0.9711,0.9689,0.9726,0.9639,0.9722,0.9564,0.9692,0.9307,0.9682,0.9348,0.9679,0.9293,0.9672,0.7952,0.9608,0.646,0.9532,0.955
2,0.9478,0.9616,0.9647,0.9672,0.9699,0.9704,0.9716,0.9714,0.9728,0.9658,0.9728,0.9613,0.9713,0.9575,0.9712,0.9465,0.9707,0.9373,0.9701,0.9158,0.9668,0.8744,0.9636,0.6459,0.9557,0.9601
3,0.945,0.9586,0.9637,0.9655,0.9701,0.9693,0.9704,0.9691,0.9713,0.9673,0.9716,0.9619,0.9708,0.9566,0.9715,0.9432,0.9691,0.9281,0.9688,0.902,0.9674,0.8407,0.9589,0.7531,0.9515,0.9567
4,0.9482,0.9597,0.9658,0.9698,0.9704,0.9714,0.9736,0.9705,0.9723,0.9669,0.9734,0.9624,0.9728,0.9601,0.9728,0.9465,0.9715,0.9251,0.9696,0.9149,0.9684,0.8948,0.964,0.8027,0.9537,0.956
5,0.9496,0.9616,0.9644,0.9681,0.9693,0.97,0.9701,0.9703,0.9709,0.9645,0.9703,0.9655,0.9721,0.9578,0.9709,0.9522,0.9699,0.9387,0.9695,0.887,0.9659,0.8817,0.9632,0.8008,0.9565,0.9594
6,0.9487,0.9614,0.9636,0.9682,0.9679,0.9695,0.9723,0.9692,0.9703,0.968,0.9716,0.961,0.9698,0.9559,0.9715,0.9434,0.97,0.9324,0.9706,0.9223,0.9691,0.8079,0.9652,0.4903,0.9534,0.9557
7,0.951,0.961,0.9647,0.9675,0.9695,0.972,0.9722,0.9702,0.9719,0.9657,0.9726,0.9586,0.9697,0.9556,0.9704,0.9531,0.9703,0.9396,0.9716,0.9209,0.9671,0.903,0.9648,0.6942,0.9607,0.964
8,0.9492,0.9606,0.9629,0.9686,0.9677,0.97,0.9722,0.9683,0.9727,0.9656,0.9725,0.9617,0.9722,0.96,0.9719,0.9445,0.9719,0.9335,0.971,0.9205,0.9674,0.8705,0.9642,0.7264,0.9575,0.962
9,0.9445,0.9572,0.9596,0.9658,0.9668,0.9692,0.9701,0.9696,0.9706,0.9657,0.97,0.9635,0.9715,0.9492,0.9711,0.9301,0.9699,0.936,0.9717,0.9365,0.9704,0.6989,0.9623,0.6543,0.9524,0.9605
