,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.9455,0.9569,0.9586,0.9638,0.9671,0.9666,0.9688,0.9698,0.9704,0.9719,0.9704,0.9725,0.9728,0.9735,0.9714,0.974,0.9707,0.9741,0.9732,0.9721,0.973,0.9737,0.9737,0.9737,0.9735,0.9717,0.972,0.971,0.9721,0.9683,0.9709,0.9688,0.9716,0.9687,0.9693,0.9659,0.9712,0.963,0.9704,0.9638,0.9684,0.9488,0.9686,0.9265,0.9614,0.964
1,0.9459,0.9591,0.9652,0.967,0.9707,0.9716,0.9728,0.974,0.9735,0.9754,0.9743,0.9749,0.9738,0.9759,0.9753,0.9768,0.9756,0.9754,0.9753,0.9744,0.9738,0.9775,0.9754,0.9759,0.9736,0.9734,0.9749,0.974,0.9746,0.9715,0.9711,0.9702,0.9721,0.9699,0.9718,0.9708,0.9725,0.9665,0.972,0.9606,0.9703,0.9542,0.9693,0.9341,0.9684,0.9679
2,0.9472,0.9581,0.9633,0.9658,0.9677,0.9699,0.9702,0.9724,0.9699,0.9735,0.9741,0.9751,0.9734,0.9758,0.975,0.9758,0.974,0.9756,0.9749,0.975,0.9756,0.9737,0.9751,0.9753,0.9756,0.9749,0.9743,0.9723,0.9744,0.9731,0.9744,0.9748,0.9737,0.97,0.9736,0.9705,0.9738,0.9664,0.9709,0.9661,0.9716,0.9603,0.9717,0.9214,0.9655,0.9661
3,0.9457,0.9577,0.9599,0.9644,0.9681,0.9673,0.9682,0.968,0.9703,0.9712,0.9705,0.9703,0.9693,0.9715,0.9701,0.973,0.9707,0.969,0.9718,0.9703,0.9711,0.9705,0.9714,0.9697,0.9703,0.9684,0.9691,0.97,0.9714,0.9704,0.9701,0.9698,0.9692,0.9678,0.9696,0.9626,0.9694,0.9607,0.9668,0.9563,0.9671,0.7533,0.9606,0.9094,0.9581,0.9607
4,0.9502,0.96,0.9668,0.9695,0.9705,0.9693,0.9708,0.9741,0.9742,0.9752,0.9742,0.9753,0.9726,0.9751,0.975,0.9746,0.9751,0.9749,0.9763,0.9752,0.9734,0.9752,0.9736,0.9745,0.974,0.9739,0.9744,0.9725,0.9739,0.9721,0.9732,0.9707,0.9733,0.9716,0.9738,0.9686,0.9723,0.9602,0.9713,0.9597,0.9682,0.9462,0.9664,0.9166,0.9634,0.9657
5,0.9465,0.9574,0.9622,0.9646,0.9685,0.9696,0.9687,0.9714,0.9713,0.9712,0.9715,0.9729,0.9723,0.9739,0.9721,0.9728,0.9721,0.9723,0.9718,0.9733,0.9734,0.9721,0.9726,0.9708,0.9712,0.9694,0.9693,0.9712,0.9718,0.9693,0.9721,0.9688,0.9731,0.9685,0.9701,0.9689,0.9705,0.9604,0.9693,0.9633,0.9676,0.9534,0.9668,0.9316,0.962,0.9655
6,0.9475,0.9601,0.9659,0.967,0.9685,0.9697,0.9692,0.974,0.9707,0.9749,0.9705,0.9721,0.9717,0.9724,0.973,0.9729,0.9746,0.9742,0.9734,0.9736,0.9742,0.9742,0.9728,0.9721,0.9734,0.9699,0.9717,0.9713,0.9728,0.9722,0.9718,0.9686,0.9729,0.9696,0.9711,0.9691,0.9721,0.9626,0.969,0.9646,0.971,0.9458,0.9678,0.915,0.9613,0.9624
7,0.9439,0.9586,0.9604,0.9631,0.9657,0.9656,0.9666,0.9702,0.9699,0.9699,0.9709,0.9719,0.9698,0.9709,0.9716,0.9727,0.9712,0.9734,0.9736,0.9718,0.9721,0.9708,0.9712,0.9701,0.9719,0.9714,0.9694,0.9704,0.9714,0.9693,0.9717,0.9696,0.9707,0.9671,0.9711,0.9643,0.9694,0.9645,0.9686,0.9615,0.9684,0.952,0.9682,0.9224,0.9589,0.9638
8,0.9505,0.9583,0.9631,0.9665,0.9684,0.9709,0.9715,0.9736,0.9712,0.9737,0.9724,0.974,0.972,0.9738,0.9734,0.974,0.9737,0.9735,0.9722,0.9729,0.9736,0.9739,0.9713,0.9737,0.973,0.9735,0.9721,0.9709,0.9734,0.972,0.971,0.9695,0.9719,0.9706,0.9735,0.9681,0.9714,0.9643,0.9704,0.9533,0.9677,0.9559,0.9658,0.9247,0.9626,0.9619
9,0.9474,0.9595,0.9653,0.9671,0.9667,0.9689,0.9709,0.9732,0.9716,0.9736,0.9728,0.9736,0.9716,0.9726,0.973,0.9724,0.9729,0.9742,0.9721,0.9742,0.9723,0.9727,0.9732,0.9737,0.9741,0.9742,0.9734,0.9721,0.9738,0.9686,0.9741,0.9698,0.9699,0.9698,0.9746,0.968,0.972,0.9672,0.9715,0.9592,0.9695,0.9545,0.9662,0.9341,0.9598,0.963
