,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,0.9491,0.9581,0.9641,0.9665,0.9673,0.9685,0.9701,0.9686,0.9708,0.9709,0.9714,0.9716,0.9711,0.9685,0.9712,0.9711,0.9702,0.9724,0.9711,0.9721,0.9716,0.9713,0.9695,0.9714,0.9696,0.9716,0.9729,0.9697,0.9712,0.9708,0.9718,0.9704,0.9702,0.9693,0.9701,0.9703,0.9713,0.9708,0.9703,0.9709,0.9716,0.972,0.9723,0.9687,0.9701,0.9726,0.9718,0.9656,0.9705,0.9691,0.9706,0.9693,0.9707,0.9692,0.9703,0.9678,0.971,0.968,0.9727,0.9684,0.9718,0.9699,0.9697,0.9662,0.9708,0.9621,0.9708,0.9672,0.9696,0.9611,0.9699,0.9607,0.9699,0.9652,0.9705,0.9586,0.9704,0.9622,0.9721,0.9643,0.9709,0.9594,0.9694,0.9598,0.9681,0.9608,0.9696,0.9602,0.9689,0.9586,0.9687,0.96,0.9689,0.9355,0.9628,0.9372,0.9644,0.9451,0.9665,0.9274,0.9601,0.9234,0.9608,0.7585,0.9427,0.949
1,0.9449,0.9564,0.9612,0.9669,0.9659,0.969,0.9711,0.9716,0.9706,0.973,0.971,0.9733,0.9724,0.9739,0.9729,0.9712,0.9741,0.9737,0.9723,0.9734,0.9738,0.9737,0.9739,0.9728,0.9733,0.9735,0.9735,0.9731,0.9732,0.9733,0.9724,0.9723,0.974,0.9707,0.9737,0.9707,0.9733,0.9724,0.9734,0.9717,0.9734,0.9703,0.9737,0.9703,0.9728,0.9746,0.9739,0.9701,0.9739,0.968,0.9738,0.97,0.9731,0.9706,0.9721,0.9702,0.9729,0.9671,0.9735,0.9671,0.9723,0.9667,0.9708,0.9673,0.9734,0.9658,0.9716,0.9685,0.9714,0.9709,0.9734,0.9699,0.9734,0.9645,0.9715,0.9621,0.9727,0.9641,0.9712,0.9673,0.9719,0.9655,0.9709,0.9626,0.9705,0.9582,0.9702,0.9652,0.9704,0.9581,0.9678,0.9525,0.9692,0.94,0.965,0.954,0.9675,0.9409,0.9685,0.9356,0.9657,0.8002,0.956,0.859,0.9551,0.956
2,0.9448,0.9573,0.9614,0.9639,0.9674,0.9684,0.9692,0.9698,0.9702,0.9723,0.9709,0.9701,0.9719,0.9722,0.9723,0.9732,0.9732,0.972,0.9745,0.9718,0.9721,0.9718,0.9736,0.9699,0.9724,0.9704,0.9711,0.9709,0.9724,0.9706,0.9719,0.9708,0.9716,0.9686,0.9727,0.967,0.9718,0.9688,0.9728,0.97,0.9718,0.9695,0.9714,0.9696,0.9713,0.9699,0.9725,0.9671,0.9715,0.9698,0.9708,0.9654,0.9708,0.9701,0.9716,0.9678,0.9711,0.9671,0.9717,0.9671,0.9708,0.9681,0.9684,0.9652,0.9697,0.9638,0.9705,0.9654,0.9691,0.9662,0.9703,0.9622,0.969,0.9579,0.9685,0.9626,0.969,0.9654,0.9701,0.9634,0.9707,0.9591,0.9695,0.9602,0.9679,0.9643,0.9681,0.9612,0.9694,0.9616,0.9665,0.9567,0.9676,0.9544,0.9666,0.9482,0.9667,0.9513,0.9669,0.9026,0.9601,0.8963,0.9585,0.7418,0.9487,0.9501
3,0.9469,0.9577,0.9613,0.9653,0.9667,0.9677,0.9693,0.9711,0.9687,0.971,0.9703,0.9723,0.9703,0.9719,0.9719,0.9722,0.9718,0.971,0.9707,0.9725,0.9715,0.9711,0.9728,0.9736,0.9717,0.971,0.9701,0.9715,0.97,0.9689,0.9718,0.9723,0.9714,0.9712,0.9735,0.9685,0.9724,0.9693,0.9716,0.969,0.972,0.9666,0.9713,0.9701,0.9726,0.9689,0.9734,0.9705,0.9731,0.9667,0.9708,0.9712,0.9737,0.9689,0.9723,0.9682,0.9731,0.9646,0.9718,0.9721,0.9731,0.9648,0.9725,0.9673,0.9712,0.9638,0.9718,0.9656,0.9714,0.9673,0.9718,0.9646,0.9701,0.9641,0.9712,0.9613,0.9711,0.9652,0.9706,0.9648,0.972,0.9655,0.9698,0.964,0.9692,0.9572,0.9693,0.9616,0.9689,0.9627,0.9682,0.9563,0.9684,0.9524,0.9668,0.9522,0.969,0.9481,0.967,0.9311,0.9655,0.9224,0.9619,0.7801,0.9539,0.9579
4,0.9454,0.9593,0.9651,0.9682,0.9686,0.9689,0.9685,0.9705,0.9709,0.9728,0.9726,0.9722,0.9709,0.9726,0.9701,0.9723,0.973,0.9747,0.9745,0.9727,0.9721,0.97,0.9719,0.9725,0.9736,0.9747,0.9716,0.9713,0.9726,0.9726,0.9735,0.9717,0.9718,0.9709,0.972,0.9731,0.972,0.97,0.9706,0.9674,0.9726,0.9699,0.9724,0.9688,0.9705,0.9681,0.9716,0.9674,0.9716,0.9701,0.9717,0.9691,0.9695,0.9677,0.9711,0.9695,0.972,0.9677,0.9717,0.9672,0.9708,0.9681,0.972,0.969,0.9707,0.9687,0.9708,0.9691,0.9702,0.9671,0.971,0.9658,0.9717,0.9659,0.9709,0.9624,0.9696,0.9647,0.97,0.9633,0.9692,0.9648,0.97,0.9625,0.9684,0.9595,0.9696,0.9587,0.9688,0.9416,0.9668,0.9538,0.9672,0.9483,0.9647,0.9481,0.9638,0.7521,0.9571,0.9234,0.964,0.9099,0.9579,0.9005,0.9544,0.9554
5,0.9463,0.9578,0.9631,0.966,0.9673,0.9709,0.9702,0.9733,0.9715,0.9728,0.9732,0.9745,0.9736,0.9734,0.9744,0.9735,0.9746,0.9726,0.9739,0.9735,0.9713,0.9719,0.9735,0.9731,0.9731,0.9735,0.9735,0.9736,0.9726,0.9736,0.9729,0.9709,0.9736,0.972,0.9732,0.9713,0.973,0.9711,0.9725,0.9699,0.9733,0.9696,0.973,0.9701,0.9723,0.9703,0.9716,0.9693,0.9723,0.9707,0.9722,0.9714,0.9731,0.9686,0.9723,0.9687,0.9735,0.9679,0.9733,0.9683,0.9721,0.9694,0.9728,0.9664,0.9725,0.9689,0.9724,0.9647,0.9732,0.9638,0.9701,0.9657,0.9705,0.9668,0.9699,0.96,0.9701,0.9651,0.9709,0.9629,0.9704,0.9616,0.9686,0.9664,0.9716,0.9638,0.9696,0.9578,0.9686,0.9558,0.9671,0.9597,0.968,0.9523,0.9648,0.9445,0.963,0.9407,0.9662,0.9488,0.965,0.9367,0.9619,0.8959,0.9568,0.9575
6,0.9504,0.9597,0.9664,0.9682,0.9683,0.9714,0.9742,0.9742,0.9736,0.9737,0.9727,0.9721,0.9718,0.9741,0.9746,0.9736,0.9735,0.9734,0.973,0.9739,0.9751,0.9728,0.9744,0.974,0.9744,0.9725,0.9733,0.9727,0.9746,0.9712,0.9734,0.9728,0.9733,0.9732,0.9722,0.9722,0.9733,0.9727,0.972,0.9706,0.9733,0.9715,0.9726,0.9714,0.9724,0.9728,0.9734,0.9717,0.9726,0.9723,0.9714,0.9686,0.9717,0.972,0.9735,0.9699,0.9727,0.9679,0.9718,0.9647,0.9705,0.9686,0.9713,0.9697,0.9719,0.9683,0.9708,0.9657,0.9699,0.9687,0.9701,0.9646,0.9704,0.9674,0.9718,0.9662,0.9705,0.9679,0.9703,0.9583,0.9685,0.9613,0.9702,0.9638,0.9682,0.9662,0.9716,0.9632,0.9701,0.9612,0.9702,0.9623,0.9691,0.9625,0.9689,0.9495,0.9678,0.9603,0.9692,0.9109,0.9623,0.916,0.9604,0.7862,0.9487,0.953
7,0.946,0.9575,0.9627,0.9647,0.9672,0.9686,0.968,0.9685,0.9682,0.9703,0.9702,0.9713,0.9708,0.9713,0.9718,0.9712,0.9722,0.9723,0.9717,0.9712,0.9717,0.9712,0.9716,0.9729,0.9732,0.9696,0.973,0.9724,0.9715,0.97,0.9718,0.9711,0.9736,0.9705,0.9722,0.9694,0.9719,0.9696,0.9718,0.9694,0.9708,0.9666,0.9711,0.9664,0.9707,0.9692,0.9713,0.97,0.9708,0.9667,0.9706,0.9698,0.9714,0.969,0.971,0.9671,0.9709,0.965,0.9708,0.9684,0.9721,0.9666,0.9711,0.9675,0.9711,0.9638,0.9719,0.9674,0.9721,0.9642,0.9715,0.9661,0.9717,0.9649,0.9715,0.9687,0.9731,0.9636,0.9711,0.964,0.9714,0.961,0.9689,0.9647,0.9707,0.9623,0.9689,0.9566,0.9695,0.9619,0.9691,0.9551,0.9687,0.9526,0.9684,0.9343,0.9622,0.9411,0.9617,0.944,0.9637,0.7487,0.9575,0.864,0.9497,0.9544
8,0.9452,0.9541,0.9586,0.965,0.9655,0.9678,0.9697,0.9693,0.9708,0.9729,0.9694,0.9714,0.9715,0.972,0.9717,0.9714,0.9719,0.9732,0.9715,0.9704,0.971,0.9707,0.9728,0.9727,0.9706,0.9731,0.973,0.9731,0.9724,0.9693,0.971,0.9695,0.9707,0.9693,0.9712,0.969,0.971,0.9691,0.9699,0.9722,0.9726,0.9705,0.9719,0.9701,0.9724,0.9682,0.9714,0.9676,0.9707,0.9682,0.971,0.9682,0.9721,0.9697,0.9723,0.9681,0.9697,0.9669,0.971,0.9673,0.971,0.9654,0.9696,0.9682,0.972,0.9628,0.971,0.9644,0.9712,0.9637,0.9712,0.9568,0.9694,0.9645,0.9704,0.9621,0.9703,0.96,0.9705,0.9638,0.9695,0.9615,0.9696,0.9617,0.9694,0.9612,0.9697,0.959,0.9702,0.9603,0.9705,0.9628,0.9683,0.959,0.9674,0.9361,0.9655,0.9437,0.9624,0.9347,0.9622,0.9155,0.9605,0.8018,0.9507,0.9546
9,0.9458,0.9564,0.9638,0.9663,0.9672,0.9685,0.9693,0.9714,0.9707,0.9709,0.972,0.9725,0.9719,0.9712,0.9705,0.9713,0.9714,0.9741,0.9713,0.9737,0.9726,0.9735,0.9732,0.9724,0.973,0.9717,0.9726,0.974,0.9726,0.9723,0.9709,0.9703,0.9724,0.9702,0.9724,0.9716,0.9718,0.9702,0.9719,0.9705,0.9723,0.9717,0.9717,0.9693,0.9707,0.969,0.9726,0.9714,0.9704,0.9701,0.9712,0.9685,0.9723,0.966,0.9698,0.9689,0.9698,0.9671,0.9706,0.9684,0.9709,0.9651,0.9702,0.966,0.969,0.967,0.971,0.9663,0.9703,0.9652,0.9703,0.965,0.9694,0.9641,0.9707,0.9638,0.9693,0.9667,0.969,0.9598,0.9679,0.9656,0.9695,0.9588,0.9687,0.9506,0.9669,0.9561,0.9662,0.9584,0.9671,0.9573,0.9671,0.9569,0.9671,0.9608,0.9676,0.9524,0.9648,0.953,0.9645,0.9195,0.9587,0.7701,0.9464,0.95
