,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.4292,0.4539,0.4645,0.4657,0.4846,0.4853,0.4922,0.0,0.4989,0.0,0.4997,0.0,0.5004,0.0,0.4965,0.0,0.495,0.0,0.4928,0.0,0.4966,0.0,0.4863,0.0,0.4702,0.4766
1,0.4181,0.4577,0.4714,0.48,0.4829,0.4867,0.4937,0.0,0.493,0.0,0.5014,0.0,0.4962,0.0,0.4926,0.0,0.4946,0.0,0.4932,0.0,0.4812,0.0,0.4754,0.0,0.468,0.4746
2,0.4215,0.449,0.4678,0.4775,0.4877,0.4948,0.4922,0.0,0.4999,0.0,0.4968,0.0,0.5002,0.0,0.4994,0.0,0.4971,0.0,0.4991,0.0,0.4906,0.0,0.4886,0.0,0.4701,0.4767
3,0.4333,0.453,0.4682,0.4781,0.4812,0.4819,0.4815,0.0,0.495,0.0,0.5008,0.0,0.4988,0.0,0.5015,0.0,0.4944,0.0,0.4971,0.0,0.4844,0.0,0.4843,0.0,0.4659,0.4719
4,0.4203,0.4474,0.463,0.4725,0.4848,0.481,0.4812,0.0,0.489,0.0,0.4874,0.0,0.4856,0.0,0.4898,0.0,0.4801,0.0,0.4926,0.0,0.4875,0.0,0.4824,0.0,0.4644,0.4747
5,0.4324,0.462,0.4746,0.4756,0.4854,0.4885,0.4882,0.0,0.4943,0.0,0.4993,0.0,0.504,0.0,0.5019,0.0,0.492,0.0,0.4888,0.0,0.4893,0.0,0.4878,0.0,0.4703,0.4749
6,0.4274,0.4583,0.4679,0.4779,0.4804,0.4869,0.4858,0.0,0.4938,0.0,0.4969,0.0,0.4983,0.0,0.4932,0.0,0.4899,0.0,0.4877,0.0,0.4881,0.0,0.4795,0.0,0.4675,0.4791
7,0.4349,0.4576,0.4644,0.4789,0.4802,0.4852,0.487,0.0,0.4901,0.0,0.4951,0.0,0.4951,0.0,0.4964,0.0,0.4935,0.0,0.4839,0.0,0.4889,0.0,0.4807,0.0,0.4749,0.4736
8,0.4236,0.4538,0.4588,0.4716,0.4797,0.4817,0.4878,0.0,0.4823,0.0,0.4833,0.0,0.4824,0.0,0.4857,0.0,0.4869,0.0,0.4859,0.0,0.481,0.0,0.4833,0.0,0.4693,0.4702
9,0.4361,0.465,0.4684,0.4801,0.478,0.4798,0.4884,0.0,0.4893,0.0,0.4932,0.0,0.4963,0.0,0.4911,0.0,0.4925,0.0,0.4898,0.0,0.4901,0.0,0.4857,0.0,0.4723,0.4713
