,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,0.4312,0.4534,0.4682,0.4813,0.4846,0.4885,0.489,0.0,0.4935,0.0,0.4957,0.0,0.495,0.0,0.4949,0.0,0.4971,0.0,0.4971,0.0,0.4975,0.0,0.5011,0.0,0.4963,0.0,0.4987,0.0,0.4947,0.0,0.5,0.0,0.4937,0.0,0.4979,0.0,0.4955,0.0,0.4916,0.0,0.4917,0.0,0.4902,0.0,0.4873,0.0,0.4916,0.0,0.4878,0.0,0.4873,0.0,0.485,0.0,0.4818,0.0,0.4875,0.0,0.4835,0.0,0.4838,0.0,0.4791,0.0,0.48,0.0,0.4748,0.0,0.4761,0.0,0.4783,0.0,0.4772,0.0,0.4704,0.0,0.474,0.0,0.4718,0.0,0.4656,0.0,0.4767,0.0,0.4714,0.0,0.4774,0.0,0.468,0.0,0.4748,0.0,0.4662,0.0,0.4667,0.0,0.4731,0.0,0.4659,0.0,0.469,0.0,0.454,0.0,0.4394,0.4434
1,0.4255,0.4564,0.4678,0.4766,0.4823,0.4894,0.4885,0.0,0.487,0.0,0.4939,0.0,0.4971,0.0,0.4932,0.0,0.4962,0.0,0.4979,0.0,0.4894,0.0,0.4837,0.0,0.4913,0.0,0.494,0.0,0.4866,0.0,0.49,0.0,0.4924,0.0,0.4916,0.0,0.488,0.0,0.4935,0.0,0.4867,0.0,0.4815,0.0,0.4885,0.0,0.4844,0.0,0.4805,0.0,0.4848,0.0,0.4843,0.0,0.4854,0.0,0.4858,0.0,0.4809,0.0,0.4806,0.0,0.4796,0.0,0.4787,0.0,0.4698,0.0,0.4784,0.0,0.4781,0.0,0.4741,0.0,0.4773,0.0,0.4745,0.0,0.4709,0.0,0.4676,0.0,0.4713,0.0,0.474,0.0,0.4656,0.0,0.4721,0.0,0.4673,0.0,0.4685,0.0,0.4646,0.0,0.4687,0.0,0.4565,0.0,0.4546,0.0,0.4523,0.0,0.4259,0.4315
2,0.4192,0.4559,0.4599,0.4753,0.4805,0.4796,0.4882,0.0,0.4919,0.0,0.4915,0.0,0.4931,0.0,0.4967,0.0,0.4949,0.0,0.4988,0.0,0.4975,0.0,0.4959,0.0,0.4961,0.0,0.4932,0.0,0.4917,0.0,0.4896,0.0,0.4912,0.0,0.4911,0.0,0.4879,0.0,0.4899,0.0,0.4833,0.0,0.4808,0.0,0.4849,0.0,0.4881,0.0,0.4865,0.0,0.483,0.0,0.4822,0.0,0.4834,0.0,0.4814,0.0,0.4854,0.0,0.4848,0.0,0.4827,0.0,0.4831,0.0,0.4806,0.0,0.4717,0.0,0.4754,0.0,0.4706,0.0,0.4748,0.0,0.4716,0.0,0.4711,0.0,0.469,0.0,0.4718,0.0,0.4687,0.0,0.4736,0.0,0.4767,0.0,0.4689,0.0,0.4726,0.0,0.4658,0.0,0.4628,0.0,0.4596,0.0,0.4675,0.0,0.4498,0.0,0.4309,0.4455
3,0.4212,0.4484,0.4609,0.469,0.4763,0.4771,0.488,0.0,0.4835,0.0,0.4901,0.0,0.4978,0.0,0.4908,0.0,0.4902,0.0,0.4921,0.0,0.498,0.0,0.4929,0.0,0.4961,0.0,0.4925,0.0,0.4948,0.0,0.4967,0.0,0.4882,0.0,0.4982,0.0,0.4965,0.0,0.4897,0.0,0.4916,0.0,0.4912,0.0,0.4887,0.0,0.4894,0.0,0.4918,0.0,0.49,0.0,0.4902,0.0,0.4836,0.0,0.49,0.0,0.4854,0.0,0.483,0.0,0.4817,0.0,0.4879,0.0,0.4798,0.0,0.4821,0.0,0.4821,0.0,0.486,0.0,0.4823,0.0,0.4801,0.0,0.4835,0.0,0.4792,0.0,0.4774,0.0,0.4796,0.0,0.474,0.0,0.4756,0.0,0.4717,0.0,0.4686,0.0,0.4636,0.0,0.4669,0.0,0.4673,0.0,0.4691,0.0,0.451,0.0,0.4406,0.4448
4,0.4122,0.4522,0.4669,0.4729,0.4795,0.4841,0.4833,0.0,0.4868,0.0,0.4905,0.0,0.4891,0.0,0.49,0.0,0.4961,0.0,0.4948,0.0,0.4874,0.0,0.4857,0.0,0.4879,0.0,0.4929,0.0,0.4947,0.0,0.4894,0.0,0.4883,0.0,0.488,0.0,0.488,0.0,0.4816,0.0,0.4807,0.0,0.4856,0.0,0.4843,0.0,0.4815,0.0,0.485,0.0,0.4771,0.0,0.4816,0.0,0.4733,0.0,0.4818,0.0,0.484,0.0,0.4793,0.0,0.4821,0.0,0.4751,0.0,0.4756,0.0,0.4737,0.0,0.4707,0.0,0.4714,0.0,0.4755,0.0,0.4704,0.0,0.4714,0.0,0.4669,0.0,0.4731,0.0,0.4725,0.0,0.4689,0.0,0.4668,0.0,0.4621,0.0,0.4619,0.0,0.4669,0.0,0.4649,0.0,0.4634,0.0,0.4629,0.0,0.4475,0.0,0.4302,0.4362
5,0.4297,0.4415,0.4674,0.4741,0.4827,0.4858,0.4845,0.0,0.4868,0.0,0.4937,0.0,0.488,0.0,0.4938,0.0,0.4879,0.0,0.4919,0.0,0.4926,0.0,0.4914,0.0,0.4946,0.0,0.4955,0.0,0.4925,0.0,0.4883,0.0,0.4902,0.0,0.4906,0.0,0.4852,0.0,0.483,0.0,0.4881,0.0,0.4833,0.0,0.4854,0.0,0.4859,0.0,0.483,0.0,0.4857,0.0,0.4812,0.0,0.487,0.0,0.4812,0.0,0.4797,0.0,0.4793,0.0,0.4807,0.0,0.482,0.0,0.4777,0.0,0.4792,0.0,0.4777,0.0,0.4706,0.0,0.4754,0.0,0.4762,0.0,0.4736,0.0,0.4735,0.0,0.4738,0.0,0.4737,0.0,0.4655,0.0,0.4703,0.0,0.4737,0.0,0.4623,0.0,0.4668,0.0,0.4692,0.0,0.4641,0.0,0.4601,0.0,0.4519,0.0,0.437,0.4425
6,0.4313,0.4614,0.4714,0.4752,0.4811,0.4863,0.4881,0.0,0.4903,0.0,0.4964,0.0,0.4976,0.0,0.4968,0.0,0.4891,0.0,0.4967,0.0,0.4956,0.0,0.4955,0.0,0.4933,0.0,0.4873,0.0,0.4917,0.0,0.4894,0.0,0.4902,0.0,0.4886,0.0,0.4932,0.0,0.4941,0.0,0.4943,0.0,0.4855,0.0,0.487,0.0,0.4873,0.0,0.485,0.0,0.482,0.0,0.4828,0.0,0.4809,0.0,0.4847,0.0,0.4805,0.0,0.4786,0.0,0.4803,0.0,0.4688,0.0,0.4792,0.0,0.4764,0.0,0.4756,0.0,0.4739,0.0,0.4726,0.0,0.476,0.0,0.4714,0.0,0.4727,0.0,0.4688,0.0,0.4649,0.0,0.463,0.0,0.4696,0.0,0.4647,0.0,0.4612,0.0,0.4637,0.0,0.4636,0.0,0.4596,0.0,0.4535,0.0,0.447,0.0,0.4409,0.4466
7,0.4231,0.4539,0.4664,0.4661,0.4845,0.4771,0.4837,0.0,0.495,0.0,0.493,0.0,0.4922,0.0,0.4987,0.0,0.4987,0.0,0.4982,0.0,0.4939,0.0,0.4972,0.0,0.4922,0.0,0.4992,0.0,0.493,0.0,0.492,0.0,0.4932,0.0,0.4936,0.0,0.4901,0.0,0.4948,0.0,0.4894,0.0,0.4856,0.0,0.4867,0.0,0.4863,0.0,0.4878,0.0,0.4837,0.0,0.4845,0.0,0.4869,0.0,0.4834,0.0,0.483,0.0,0.483,0.0,0.484,0.0,0.4824,0.0,0.4796,0.0,0.4809,0.0,0.4823,0.0,0.4776,0.0,0.4837,0.0,0.4725,0.0,0.4781,0.0,0.473,0.0,0.4729,0.0,0.4708,0.0,0.4709,0.0,0.4727,0.0,0.4656,0.0,0.4707,0.0,0.4674,0.0,0.4635,0.0,0.4653,0.0,0.4623,0.0,0.4589,0.0,0.4446,0.4507
8,0.4219,0.4513,0.4623,0.4678,0.4808,0.4773,0.4887,0.0,0.4938,0.0,0.4919,0.0,0.4959,0.0,0.4947,0.0,0.4993,0.0,0.5027,0.0,0.4955,0.0,0.4994,0.0,0.4964,0.0,0.5003,0.0,0.4972,0.0,0.4981,0.0,0.4937,0.0,0.4866,0.0,0.4947,0.0,0.4951,0.0,0.4902,0.0,0.4909,0.0,0.4846,0.0,0.4881,0.0,0.4905,0.0,0.4823,0.0,0.4895,0.0,0.4866,0.0,0.4889,0.0,0.4819,0.0,0.4865,0.0,0.4873,0.0,0.483,0.0,0.4876,0.0,0.4855,0.0,0.4847,0.0,0.4771,0.0,0.4823,0.0,0.4831,0.0,0.4794,0.0,0.4783,0.0,0.4722,0.0,0.469,0.0,0.4721,0.0,0.4746,0.0,0.466,0.0,0.4672,0.0,0.4705,0.0,0.4635,0.0,0.4638,0.0,0.4646,0.0,0.4692,0.0,0.4313,0.4468
9,0.4276,0.4526,0.4683,0.4776,0.4836,0.4811,0.486,0.0,0.4887,0.0,0.4911,0.0,0.4889,0.0,0.4819,0.0,0.4925,0.0,0.4928,0.0,0.4884,0.0,0.4896,0.0,0.4938,0.0,0.495,0.0,0.4893,0.0,0.4879,0.0,0.4875,0.0,0.4847,0.0,0.4842,0.0,0.4838,0.0,0.4827,0.0,0.4827,0.0,0.4737,0.0,0.4825,0.0,0.4808,0.0,0.4834,0.0,0.4798,0.0,0.4763,0.0,0.4799,0.0,0.476,0.0,0.4751,0.0,0.4808,0.0,0.4798,0.0,0.4787,0.0,0.4796,0.0,0.4758,0.0,0.4715,0.0,0.4701,0.0,0.4679,0.0,0.4778,0.0,0.4705,0.0,0.4726,0.0,0.4694,0.0,0.4698,0.0,0.4719,0.0,0.4574,0.0,0.4598,0.0,0.4671,0.0,0.4636,0.0,0.4634,0.0,0.4576,0.0,0.4556,0.0,0.4389,0.4459
