,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.4266,0.4556,0.4658,0.4756,0.4793,0.4889,0.4918,0.0,0.492,0.0,0.4967,0.0,0.4927,0.0,0.492,0.0,0.497,0.0,0.494,0.0,0.4936,0.0,0.5006,0.0,0.4932,0.0,0.4917,0.0,0.4894,0.0,0.4875,0.0,0.4895,0.0,0.4863,0.0,0.4791,0.0,0.4809,0.0,0.4717,0.0,0.4673,0.0,0.4572,0.4656
1,0.4213,0.4448,0.4606,0.4664,0.4794,0.4855,0.4902,0.0,0.4914,0.0,0.4954,0.0,0.4935,0.0,0.4999,0.0,0.4945,0.0,0.4951,0.0,0.4957,0.0,0.4972,0.0,0.4953,0.0,0.4905,0.0,0.4926,0.0,0.4921,0.0,0.4855,0.0,0.4905,0.0,0.4801,0.0,0.4788,0.0,0.4695,0.0,0.4673,0.0,0.4549,0.4639
2,0.43,0.4556,0.4687,0.4705,0.484,0.4859,0.4808,0.0,0.4822,0.0,0.4954,0.0,0.4961,0.0,0.4931,0.0,0.4916,0.0,0.4897,0.0,0.4891,0.0,0.4843,0.0,0.4879,0.0,0.4837,0.0,0.4854,0.0,0.4825,0.0,0.4816,0.0,0.479,0.0,0.4765,0.0,0.4785,0.0,0.4751,0.0,0.4746,0.0,0.4606,0.4651
3,0.428,0.4557,0.4668,0.4751,0.4819,0.4899,0.4964,0.0,0.4956,0.0,0.4973,0.0,0.4947,0.0,0.497,0.0,0.4948,0.0,0.4966,0.0,0.4955,0.0,0.4953,0.0,0.4891,0.0,0.4932,0.0,0.4944,0.0,0.4927,0.0,0.4886,0.0,0.4903,0.0,0.4832,0.0,0.4866,0.0,0.4796,0.0,0.4745,0.0,0.4667,0.4668
4,0.4282,0.4516,0.4725,0.4843,0.4864,0.4896,0.4908,0.0,0.4996,0.0,0.494,0.0,0.4955,0.0,0.498,0.0,0.5003,0.0,0.4962,0.0,0.4962,0.0,0.5052,0.0,0.4955,0.0,0.4947,0.0,0.4877,0.0,0.4913,0.0,0.4894,0.0,0.4864,0.0,0.4897,0.0,0.4887,0.0,0.4806,0.0,0.4703,0.0,0.473,0.4684
5,0.4384,0.462,0.4713,0.4808,0.4849,0.4841,0.4883,0.0,0.4912,0.0,0.49,0.0,0.4949,0.0,0.4941,0.0,0.4936,0.0,0.4976,0.0,0.4941,0.0,0.4917,0.0,0.4894,0.0,0.4945,0.0,0.4864,0.0,0.4898,0.0,0.4883,0.0,0.4793,0.0,0.482,0.0,0.4804,0.0,0.4766,0.0,0.4784,0.0,0.4574,0.4644
6,0.4309,0.4561,0.4725,0.4779,0.488,0.4812,0.4887,0.0,0.4844,0.0,0.4919,0.0,0.4914,0.0,0.4946,0.0,0.4921,0.0,0.4868,0.0,0.4907,0.0,0.4912,0.0,0.4911,0.0,0.492,0.0,0.4914,0.0,0.4916,0.0,0.4877,0.0,0.4823,0.0,0.4781,0.0,0.4771,0.0,0.4798,0.0,0.4659,0.0,0.4473,0.4597
7,0.4327,0.4557,0.4649,0.4757,0.4816,0.4816,0.4839,0.0,0.486,0.0,0.4939,0.0,0.4903,0.0,0.4982,0.0,0.4941,0.0,0.4991,0.0,0.4894,0.0,0.4974,0.0,0.4905,0.0,0.4905,0.0,0.4828,0.0,0.4845,0.0,0.4835,0.0,0.4857,0.0,0.4842,0.0,0.4792,0.0,0.477,0.0,0.4611,0.0,0.4462,0.4527
8,0.4267,0.4643,0.4702,0.4803,0.4836,0.4841,0.4925,0.0,0.4911,0.0,0.4929,0.0,0.4978,0.0,0.4981,0.0,0.4958,0.0,0.4872,0.0,0.4946,0.0,0.4873,0.0,0.4939,0.0,0.4939,0.0,0.4881,0.0,0.4861,0.0,0.4832,0.0,0.4822,0.0,0.4855,0.0,0.4855,0.0,0.4758,0.0,0.4705,0.0,0.4511,0.4574
9,0.4288,0.4564,0.4756,0.4787,0.4856,0.4839,0.4874,0.0,0.4972,0.0,0.4957,0.0,0.4981,0.0,0.5014,0.0,0.4968,0.0,0.5029,0.0,0.4982,0.0,0.4948,0.0,0.4942,0.0,0.4985,0.0,0.4962,0.0,0.4917,0.0,0.4868,0.0,0.4872,0.0,0.4914,0.0,0.4884,0.0,0.4775,0.0,0.4742,0.0,0.4606,0.4688
