,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.4355,0.4552,0.4678,0.4791,0.4779,0.4921,0.4884,0.0,0.4904,0.0,0.4965,0.0,0.4917,0.0,0.4907,0.0,0.4864,0.0,0.4776,0.0,0.4701,0.0,0.4676,0.0,0.4619,0.465
1,0.43,0.4573,0.4669,0.4728,0.4856,0.4884,0.4842,0.0,0.4895,0.0,0.4878,0.0,0.483,0.0,0.4899,0.0,0.4837,0.0,0.4849,0.0,0.4729,0.0,0.469,0.0,0.4496,0.4625
2,0.4253,0.4538,0.466,0.4739,0.4755,0.4782,0.4861,0.0,0.4839,0.0,0.4861,0.0,0.485,0.0,0.4861,0.0,0.4826,0.0,0.4838,0.0,0.4753,0.0,0.462,0.0,0.4469,0.462
3,0.4192,0.4501,0.4642,0.4712,0.4802,0.4792,0.4933,0.0,0.4852,0.0,0.4843,0.0,0.4995,0.0,0.4881,0.0,0.4894,0.0,0.4769,0.0,0.4762,0.0,0.4753,0.0,0.4408,0.4538
4,0.4307,0.4613,0.47,0.4756,0.4868,0.4822,0.4851,0.0,0.4905,0.0,0.4897,0.0,0.4865,0.0,0.4871,0.0,0.483,0.0,0.4842,0.0,0.4812,0.0,0.4606,0.0,0.456,0.4616
5,0.4241,0.4553,0.467,0.4787,0.4802,0.486,0.4844,0.0,0.4939,0.0,0.4899,0.0,0.4897,0.0,0.4828,0.0,0.4869,0.0,0.4793,0.0,0.4743,0.0,0.4712,0.0,0.4517,0.4605
6,0.4269,0.4522,0.4601,0.474,0.474,0.4872,0.4854,0.0,0.479,0.0,0.4862,0.0,0.4839,0.0,0.4752,0.0,0.4773,0.0,0.4772,0.0,0.4789,0.0,0.4699,0.0,0.4464,0.4624
7,0.4253,0.4573,0.4734,0.4774,0.4815,0.4932,0.4821,0.0,0.4934,0.0,0.4902,0.0,0.4859,0.0,0.4909,0.0,0.4835,0.0,0.4771,0.0,0.4774,0.0,0.4789,0.0,0.4522,0.4643
8,0.4251,0.4533,0.4668,0.4765,0.4793,0.4822,0.4862,0.0,0.4906,0.0,0.4884,0.0,0.4877,0.0,0.4913,0.0,0.4795,0.0,0.4837,0.0,0.4812,0.0,0.4657,0.0,0.4529,0.4639
9,0.424,0.4526,0.4622,0.468,0.4688,0.4776,0.4824,0.0,0.4769,0.0,0.4792,0.0,0.4877,0.0,0.4816,0.0,0.4815,0.0,0.4822,0.0,0.4757,0.0,0.4814,0.0,0.4612,0.4684
