,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,0.4317,0.4536,0.4667,0.4822,0.4807,0.4906,0.4923,0.0,0.4846,0.0,0.4907,0.0,0.4893,0.0,0.4934,0.0,0.4905,0.0,0.4831,0.0,0.4879,0.0,0.4846,0.0,0.4842,0.0,0.4846,0.0,0.4836,0.0,0.4912,0.0,0.479,0.0,0.4835,0.0,0.4838,0.0,0.4788,0.0,0.4815,0.0,0.4737,0.0,0.4804,0.0,0.4774,0.0,0.4788,0.0,0.4825,0.0,0.4738,0.0,0.4735,0.0,0.4692,0.0,0.4708,0.0,0.4716,0.0,0.4666,0.0,0.4701,0.0,0.4694,0.0,0.4745,0.0,0.4706,0.0,0.465,0.0,0.4681,0.0,0.4637,0.0,0.4608,0.0,0.4617,0.0,0.4629,0.0,0.4685,0.0,0.4682,0.0,0.4649,0.0,0.4654,0.0,0.4549,0.0,0.4493,0.0,0.4552,0.0,0.4473,0.0,0.443,0.0,0.4357,0.0,0.4125,0.4223
1,0.4237,0.4577,0.4696,0.4741,0.482,0.4893,0.4802,0.0,0.4939,0.0,0.4958,0.0,0.4937,0.0,0.493,0.0,0.4965,0.0,0.4982,0.0,0.4945,0.0,0.4909,0.0,0.4932,0.0,0.4916,0.0,0.4891,0.0,0.4884,0.0,0.4917,0.0,0.4886,0.0,0.4932,0.0,0.4889,0.0,0.4882,0.0,0.4822,0.0,0.4851,0.0,0.486,0.0,0.4782,0.0,0.4837,0.0,0.481,0.0,0.4826,0.0,0.4824,0.0,0.4754,0.0,0.4742,0.0,0.4784,0.0,0.4813,0.0,0.4776,0.0,0.4794,0.0,0.4775,0.0,0.4766,0.0,0.4661,0.0,0.4675,0.0,0.4627,0.0,0.471,0.0,0.4672,0.0,0.461,0.0,0.4685,0.0,0.465,0.0,0.4622,0.0,0.4534,0.0,0.4607,0.0,0.4568,0.0,0.4556,0.0,0.4507,0.0,0.4202,0.0,0.4142,0.4255
2,0.4344,0.4508,0.4592,0.4716,0.4792,0.4862,0.4814,0.0,0.4908,0.0,0.4922,0.0,0.4974,0.0,0.4978,0.0,0.4906,0.0,0.4887,0.0,0.4938,0.0,0.4941,0.0,0.4985,0.0,0.4903,0.0,0.4857,0.0,0.4931,0.0,0.4956,0.0,0.4911,0.0,0.4896,0.0,0.4853,0.0,0.4863,0.0,0.4859,0.0,0.489,0.0,0.4837,0.0,0.4772,0.0,0.4876,0.0,0.4918,0.0,0.4861,0.0,0.484,0.0,0.4858,0.0,0.4843,0.0,0.4764,0.0,0.4825,0.0,0.4829,0.0,0.4793,0.0,0.4749,0.0,0.4736,0.0,0.4754,0.0,0.4764,0.0,0.4751,0.0,0.4699,0.0,0.4704,0.0,0.4719,0.0,0.4696,0.0,0.471,0.0,0.47,0.0,0.4643,0.0,0.4633,0.0,0.4574,0.0,0.4508,0.0,0.4492,0.0,0.4419,0.0,0.4216,0.4368
3,0.4202,0.4557,0.4699,0.4818,0.4842,0.4895,0.4888,0.0,0.4905,0.0,0.4912,0.0,0.4915,0.0,0.4882,0.0,0.4901,0.0,0.4946,0.0,0.4926,0.0,0.4893,0.0,0.4881,0.0,0.4872,0.0,0.4797,0.0,0.4939,0.0,0.4891,0.0,0.4832,0.0,0.4796,0.0,0.4801,0.0,0.4793,0.0,0.4823,0.0,0.4789,0.0,0.4812,0.0,0.4853,0.0,0.4759,0.0,0.4821,0.0,0.4816,0.0,0.4771,0.0,0.4748,0.0,0.4735,0.0,0.4679,0.0,0.4693,0.0,0.4694,0.0,0.4669,0.0,0.4686,0.0,0.4716,0.0,0.4659,0.0,0.462,0.0,0.4701,0.0,0.4716,0.0,0.4663,0.0,0.4692,0.0,0.4653,0.0,0.4623,0.0,0.4592,0.0,0.4574,0.0,0.4633,0.0,0.4582,0.0,0.4496,0.0,0.4439,0.0,0.4345,0.0,0.424,0.428
4,0.4355,0.461,0.4741,0.4786,0.4812,0.4926,0.4861,0.0,0.4909,0.0,0.4915,0.0,0.4992,0.0,0.4965,0.0,0.5007,0.0,0.5037,0.0,0.4968,0.0,0.5024,0.0,0.5005,0.0,0.4936,0.0,0.4916,0.0,0.495,0.0,0.4894,0.0,0.4921,0.0,0.4856,0.0,0.491,0.0,0.4904,0.0,0.4867,0.0,0.4861,0.0,0.4864,0.0,0.4836,0.0,0.4821,0.0,0.483,0.0,0.4794,0.0,0.4818,0.0,0.4814,0.0,0.4825,0.0,0.4811,0.0,0.4756,0.0,0.4847,0.0,0.4802,0.0,0.4762,0.0,0.4783,0.0,0.4713,0.0,0.4715,0.0,0.4699,0.0,0.4743,0.0,0.476,0.0,0.4745,0.0,0.4705,0.0,0.4688,0.0,0.4753,0.0,0.4646,0.0,0.4624,0.0,0.4663,0.0,0.4604,0.0,0.4484,0.0,0.4372,0.0,0.423,0.4278
5,0.4192,0.4494,0.4664,0.4736,0.4738,0.4802,0.4885,0.0,0.4934,0.0,0.4903,0.0,0.4964,0.0,0.4964,0.0,0.4946,0.0,0.4954,0.0,0.4943,0.0,0.4877,0.0,0.4867,0.0,0.4912,0.0,0.4894,0.0,0.4849,0.0,0.4892,0.0,0.4852,0.0,0.4841,0.0,0.4863,0.0,0.4862,0.0,0.4845,0.0,0.4805,0.0,0.4878,0.0,0.4827,0.0,0.4804,0.0,0.485,0.0,0.4788,0.0,0.4786,0.0,0.4764,0.0,0.4691,0.0,0.4757,0.0,0.4725,0.0,0.4761,0.0,0.4716,0.0,0.4755,0.0,0.4695,0.0,0.4708,0.0,0.469,0.0,0.4703,0.0,0.4721,0.0,0.4692,0.0,0.4678,0.0,0.4659,0.0,0.4629,0.0,0.4664,0.0,0.4631,0.0,0.4583,0.0,0.4485,0.0,0.4493,0.0,0.4487,0.0,0.4311,0.0,0.4136,0.4225
6,0.4323,0.4577,0.4709,0.4805,0.4844,0.4888,0.4922,0.0,0.4918,0.0,0.4956,0.0,0.4948,0.0,0.4948,0.0,0.4972,0.0,0.4948,0.0,0.4998,0.0,0.4944,0.0,0.5002,0.0,0.4975,0.0,0.493,0.0,0.4919,0.0,0.4918,0.0,0.4942,0.0,0.4917,0.0,0.4903,0.0,0.4964,0.0,0.4963,0.0,0.4914,0.0,0.4921,0.0,0.4939,0.0,0.4942,0.0,0.49,0.0,0.4905,0.0,0.4871,0.0,0.4819,0.0,0.4868,0.0,0.4803,0.0,0.4825,0.0,0.4858,0.0,0.4825,0.0,0.4825,0.0,0.4807,0.0,0.4837,0.0,0.4798,0.0,0.4778,0.0,0.4689,0.0,0.4771,0.0,0.4726,0.0,0.47,0.0,0.4722,0.0,0.4671,0.0,0.4614,0.0,0.4607,0.0,0.4612,0.0,0.4581,0.0,0.4536,0.0,0.4412,0.0,0.4179,0.4235
7,0.4327,0.4529,0.4716,0.4755,0.481,0.481,0.4834,0.0,0.4869,0.0,0.4919,0.0,0.4918,0.0,0.4912,0.0,0.4946,0.0,0.5003,0.0,0.4922,0.0,0.493,0.0,0.4908,0.0,0.4922,0.0,0.494,0.0,0.4918,0.0,0.4916,0.0,0.4949,0.0,0.4871,0.0,0.4866,0.0,0.4904,0.0,0.4848,0.0,0.4833,0.0,0.4844,0.0,0.4851,0.0,0.4901,0.0,0.4843,0.0,0.4848,0.0,0.4817,0.0,0.4811,0.0,0.4748,0.0,0.4778,0.0,0.4769,0.0,0.4758,0.0,0.4782,0.0,0.478,0.0,0.4752,0.0,0.4803,0.0,0.4762,0.0,0.4788,0.0,0.4641,0.0,0.4759,0.0,0.47,0.0,0.4736,0.0,0.4645,0.0,0.456,0.0,0.4613,0.0,0.4641,0.0,0.4607,0.0,0.4512,0.0,0.4473,0.0,0.4339,0.0,0.4083,0.4108
8,0.423,0.4503,0.4615,0.4721,0.4734,0.4749,0.4792,0.0,0.4825,0.0,0.4864,0.0,0.4836,0.0,0.4908,0.0,0.4918,0.0,0.4808,0.0,0.4883,0.0,0.487,0.0,0.4876,0.0,0.4831,0.0,0.4849,0.0,0.4849,0.0,0.4853,0.0,0.4848,0.0,0.4838,0.0,0.4842,0.0,0.4825,0.0,0.4802,0.0,0.48,0.0,0.4859,0.0,0.4804,0.0,0.4812,0.0,0.481,0.0,0.4805,0.0,0.4763,0.0,0.4788,0.0,0.4817,0.0,0.4716,0.0,0.4687,0.0,0.4713,0.0,0.4737,0.0,0.4663,0.0,0.467,0.0,0.4734,0.0,0.4682,0.0,0.4665,0.0,0.4657,0.0,0.4618,0.0,0.4691,0.0,0.4647,0.0,0.4613,0.0,0.4693,0.0,0.4692,0.0,0.4654,0.0,0.4641,0.0,0.4557,0.0,0.4428,0.0,0.4289,0.0,0.417,0.4217
9,0.426,0.4521,0.466,0.4764,0.4863,0.486,0.4925,0.0,0.4934,0.0,0.4929,0.0,0.4923,0.0,0.4923,0.0,0.4888,0.0,0.4856,0.0,0.4917,0.0,0.4903,0.0,0.4935,0.0,0.4939,0.0,0.4856,0.0,0.4864,0.0,0.485,0.0,0.4889,0.0,0.4823,0.0,0.4859,0.0,0.4778,0.0,0.4876,0.0,0.4885,0.0,0.4736,0.0,0.4775,0.0,0.4886,0.0,0.4805,0.0,0.4808,0.0,0.4797,0.0,0.4836,0.0,0.4776,0.0,0.4787,0.0,0.4822,0.0,0.4784,0.0,0.4743,0.0,0.479,0.0,0.4793,0.0,0.4797,0.0,0.4789,0.0,0.4723,0.0,0.4705,0.0,0.4733,0.0,0.4721,0.0,0.4677,0.0,0.4704,0.0,0.4685,0.0,0.4665,0.0,0.4507,0.0,0.4561,0.0,0.4541,0.0,0.454,0.0,0.4511,0.0,0.4288,0.4406
