,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.4234,0.4534,0.4636,0.4696,0.4739,0.4868,0.478,0.0,0.483,0.0,0.4887,0.0,0.4891,0.0,0.486,0.0,0.4878,0.0,0.4877,0.0,0.4911,0.0,0.4911,0.0,0.4898,0.0,0.489,0.0,0.4914,0.0,0.4842,0.0,0.4779,0.0,0.4825,0.0,0.4784,0.0,0.4712,0.0,0.4713,0.0,0.4562,0.0,0.4475,0.4569
1,0.4261,0.4578,0.4701,0.4808,0.4796,0.4882,0.4873,0.0,0.4937,0.0,0.4916,0.0,0.4907,0.0,0.491,0.0,0.4927,0.0,0.4888,0.0,0.495,0.0,0.4836,0.0,0.4864,0.0,0.4838,0.0,0.4907,0.0,0.4847,0.0,0.485,0.0,0.4825,0.0,0.4748,0.0,0.4726,0.0,0.4648,0.0,0.468,0.0,0.4404,0.4496
2,0.426,0.4594,0.4677,0.4776,0.483,0.4922,0.4906,0.0,0.4933,0.0,0.4914,0.0,0.4935,0.0,0.4958,0.0,0.4964,0.0,0.4973,0.0,0.4916,0.0,0.4924,0.0,0.491,0.0,0.4931,0.0,0.4855,0.0,0.4829,0.0,0.4794,0.0,0.4807,0.0,0.4714,0.0,0.4632,0.0,0.4625,0.0,0.4597,0.0,0.4217,0.4423
3,0.4341,0.4572,0.4688,0.4805,0.4787,0.4866,0.4884,0.0,0.4908,0.0,0.494,0.0,0.493,0.0,0.4972,0.0,0.4979,0.0,0.4962,0.0,0.5003,0.0,0.495,0.0,0.4911,0.0,0.5004,0.0,0.489,0.0,0.4915,0.0,0.4894,0.0,0.4804,0.0,0.4838,0.0,0.4749,0.0,0.4686,0.0,0.4534,0.0,0.441,0.4511
4,0.4249,0.4598,0.4664,0.4701,0.4848,0.4883,0.4891,0.0,0.4933,0.0,0.4823,0.0,0.4914,0.0,0.4925,0.0,0.4896,0.0,0.492,0.0,0.4958,0.0,0.4951,0.0,0.482,0.0,0.4909,0.0,0.4846,0.0,0.4893,0.0,0.4843,0.0,0.4812,0.0,0.4794,0.0,0.4699,0.0,0.4693,0.0,0.4654,0.0,0.4484,0.4541
5,0.4316,0.4429,0.4551,0.4693,0.4712,0.478,0.486,0.0,0.4884,0.0,0.4901,0.0,0.4884,0.0,0.4882,0.0,0.4917,0.0,0.487,0.0,0.4901,0.0,0.4874,0.0,0.4861,0.0,0.487,0.0,0.4868,0.0,0.4785,0.0,0.4808,0.0,0.4748,0.0,0.4729,0.0,0.4818,0.0,0.4678,0.0,0.4642,0.0,0.4487,0.4589
6,0.4175,0.4493,0.4647,0.4688,0.4781,0.4789,0.4881,0.0,0.4936,0.0,0.4932,0.0,0.4951,0.0,0.4893,0.0,0.4939,0.0,0.4873,0.0,0.4885,0.0,0.495,0.0,0.4891,0.0,0.4806,0.0,0.4851,0.0,0.4771,0.0,0.4774,0.0,0.4729,0.0,0.4692,0.0,0.4654,0.0,0.4641,0.0,0.4493,0.0,0.4464,0.4522
7,0.4293,0.4519,0.466,0.4681,0.4793,0.487,0.4841,0.0,0.4926,0.0,0.4912,0.0,0.4893,0.0,0.4911,0.0,0.485,0.0,0.4881,0.0,0.4867,0.0,0.4874,0.0,0.4878,0.0,0.4815,0.0,0.4881,0.0,0.4847,0.0,0.489,0.0,0.4867,0.0,0.4776,0.0,0.4739,0.0,0.4702,0.0,0.4625,0.0,0.4565,0.4618
8,0.4267,0.449,0.466,0.4714,0.4808,0.4859,0.491,0.0,0.4881,0.0,0.4974,0.0,0.496,0.0,0.4938,0.0,0.4896,0.0,0.4873,0.0,0.4853,0.0,0.4873,0.0,0.4788,0.0,0.4788,0.0,0.4848,0.0,0.4797,0.0,0.4848,0.0,0.4729,0.0,0.4754,0.0,0.4712,0.0,0.4697,0.0,0.4661,0.0,0.4307,0.4453
9,0.428,0.4529,0.4643,0.4698,0.4773,0.4819,0.4816,0.0,0.4892,0.0,0.4917,0.0,0.4857,0.0,0.4876,0.0,0.4903,0.0,0.4891,0.0,0.4905,0.0,0.4908,0.0,0.486,0.0,0.4823,0.0,0.4802,0.0,0.4769,0.0,0.4803,0.0,0.48,0.0,0.4819,0.0,0.4758,0.0,0.4604,0.0,0.4584,0.0,0.4321,0.448
