,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.8523,0.8615,0.8664,0.8654,0.8732,0.8732,0.871,0.0,0.8737,0.0,0.8807,0.0,0.8791,0.0,0.8758,0.0,0.8758,0.0,0.8775,0.0,0.876,0.0,0.8771,0.0,0.8747,0.0,0.8747,0.0,0.8752,0.0,0.8802,0.0,0.8772,0.0,0.8754,0.0,0.8728,0.0,0.8684,0.0,0.8687,0.0,0.8689,0.0,0.8601,0.8626
1,0.8436,0.8567,0.8675,0.8684,0.8714,0.8662,0.871,0.0,0.8766,0.0,0.8765,0.0,0.8802,0.0,0.8804,0.0,0.8782,0.0,0.8789,0.0,0.8759,0.0,0.8786,0.0,0.8796,0.0,0.8816,0.0,0.879,0.0,0.8792,0.0,0.8763,0.0,0.8788,0.0,0.8761,0.0,0.8747,0.0,0.8745,0.0,0.8725,0.0,0.859,0.8622
2,0.8495,0.8617,0.8671,0.8698,0.8701,0.8695,0.8762,0.0,0.8728,0.0,0.8751,0.0,0.8784,0.0,0.8752,0.0,0.8798,0.0,0.8757,0.0,0.8738,0.0,0.8752,0.0,0.8789,0.0,0.8726,0.0,0.8747,0.0,0.8737,0.0,0.8784,0.0,0.8755,0.0,0.8753,0.0,0.8732,0.0,0.8697,0.0,0.8682,0.0,0.8528,0.8582
3,0.8498,0.8586,0.8667,0.8692,0.8707,0.8734,0.8741,0.0,0.8738,0.0,0.8776,0.0,0.8797,0.0,0.8812,0.0,0.8796,0.0,0.8804,0.0,0.8793,0.0,0.8784,0.0,0.8818,0.0,0.8792,0.0,0.8791,0.0,0.8789,0.0,0.8795,0.0,0.8761,0.0,0.8778,0.0,0.8754,0.0,0.8722,0.0,0.8713,0.0,0.865,0.8683
4,0.8492,0.8583,0.8631,0.8667,0.8715,0.876,0.8742,0.0,0.8786,0.0,0.8768,0.0,0.8801,0.0,0.8793,0.0,0.8801,0.0,0.8777,0.0,0.8787,0.0,0.8778,0.0,0.8774,0.0,0.873,0.0,0.8787,0.0,0.8743,0.0,0.877,0.0,0.872,0.0,0.8751,0.0,0.874,0.0,0.8677,0.0,0.8675,0.0,0.8532,0.8559
5,0.8481,0.8553,0.861,0.8708,0.8711,0.8733,0.8727,0.0,0.8775,0.0,0.88,0.0,0.8806,0.0,0.8772,0.0,0.8812,0.0,0.8843,0.0,0.8778,0.0,0.8777,0.0,0.8789,0.0,0.8779,0.0,0.8805,0.0,0.88,0.0,0.8781,0.0,0.8755,0.0,0.8755,0.0,0.8785,0.0,0.8736,0.0,0.8669,0.0,0.8617,0.8704
6,0.8491,0.8595,0.866,0.8681,0.8711,0.8748,0.8731,0.0,0.8767,0.0,0.8777,0.0,0.8803,0.0,0.884,0.0,0.8793,0.0,0.8803,0.0,0.8824,0.0,0.884,0.0,0.8835,0.0,0.8781,0.0,0.8832,0.0,0.8742,0.0,0.8795,0.0,0.8761,0.0,0.8741,0.0,0.8764,0.0,0.8759,0.0,0.8709,0.0,0.8578,0.8614
7,0.8456,0.8577,0.867,0.8666,0.8708,0.8691,0.8772,0.0,0.8766,0.0,0.8757,0.0,0.8772,0.0,0.8794,0.0,0.879,0.0,0.8764,0.0,0.879,0.0,0.8726,0.0,0.8748,0.0,0.8747,0.0,0.8746,0.0,0.8758,0.0,0.8759,0.0,0.8777,0.0,0.8789,0.0,0.8732,0.0,0.8727,0.0,0.8617,0.0,0.8527,0.8545
8,0.8492,0.8612,0.8674,0.8689,0.8622,0.8669,0.8707,0.0,0.8738,0.0,0.8717,0.0,0.8759,0.0,0.8759,0.0,0.8756,0.0,0.8756,0.0,0.8756,0.0,0.8783,0.0,0.877,0.0,0.8759,0.0,0.8764,0.0,0.8749,0.0,0.876,0.0,0.8774,0.0,0.8736,0.0,0.8742,0.0,0.8732,0.0,0.8691,0.0,0.8592,0.8642
9,0.8459,0.8624,0.8664,0.8715,0.8678,0.8692,0.8746,0.0,0.8757,0.0,0.8777,0.0,0.8792,0.0,0.8751,0.0,0.8811,0.0,0.8814,0.0,0.8784,0.0,0.8809,0.0,0.88,0.0,0.8779,0.0,0.8818,0.0,0.8778,0.0,0.8807,0.0,0.879,0.0,0.8777,0.0,0.878,0.0,0.8736,0.0,0.8678,0.0,0.8666,0.8662
