,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.8509,0.8648,0.8671,0.8722,0.8722,0.8729,0.8685,0.0,0.8757,0.0,0.8778,0.0,0.8733,0.0,0.8747,0.0,0.874,0.0,0.8733,0.0,0.8722,0.0,0.8672,0.0,0.8592,0.8628
1,0.8484,0.8607,0.866,0.8714,0.8716,0.8737,0.8726,0.0,0.875,0.0,0.8746,0.0,0.8752,0.0,0.8743,0.0,0.8737,0.0,0.8715,0.0,0.87,0.0,0.8678,0.0,0.8617,0.8637
2,0.8469,0.8582,0.8682,0.8707,0.8707,0.87,0.8735,0.0,0.8719,0.0,0.8726,0.0,0.8729,0.0,0.8787,0.0,0.8743,0.0,0.8741,0.0,0.8727,0.0,0.8664,0.0,0.8606,0.8641
3,0.8519,0.8583,0.8662,0.867,0.872,0.8725,0.8748,0.0,0.8756,0.0,0.8751,0.0,0.8728,0.0,0.8725,0.0,0.8718,0.0,0.8756,0.0,0.873,0.0,0.8693,0.0,0.8669,0.8659
4,0.8484,0.8589,0.8683,0.8597,0.8688,0.872,0.8668,0.0,0.8727,0.0,0.8767,0.0,0.873,0.0,0.8756,0.0,0.876,0.0,0.8677,0.0,0.8659,0.0,0.8695,0.0,0.86,0.8629
5,0.8523,0.8617,0.8663,0.8669,0.8705,0.8717,0.8697,0.0,0.8725,0.0,0.8719,0.0,0.8743,0.0,0.875,0.0,0.8753,0.0,0.8724,0.0,0.865,0.0,0.8642,0.0,0.8573,0.8605
6,0.8457,0.8567,0.8583,0.8708,0.8685,0.8727,0.8713,0.0,0.8726,0.0,0.8697,0.0,0.8745,0.0,0.8759,0.0,0.8743,0.0,0.8709,0.0,0.8726,0.0,0.8655,0.0,0.8629,0.8671
7,0.8479,0.8576,0.8654,0.8669,0.8687,0.8722,0.873,0.0,0.874,0.0,0.8747,0.0,0.8768,0.0,0.8687,0.0,0.8709,0.0,0.8732,0.0,0.873,0.0,0.8702,0.0,0.863,0.8662
8,0.8551,0.8572,0.8673,0.8701,0.8688,0.871,0.8762,0.0,0.8718,0.0,0.8739,0.0,0.8706,0.0,0.8711,0.0,0.8778,0.0,0.8769,0.0,0.8723,0.0,0.8696,0.0,0.8625,0.8641
9,0.8505,0.8636,0.8601,0.8699,0.872,0.8717,0.8721,0.0,0.874,0.0,0.8761,0.0,0.876,0.0,0.8748,0.0,0.8727,0.0,0.868,0.0,0.8661,0.0,0.8641,0.0,0.8572,0.8592
