,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.8508,0.8612,0.8657,0.8653,0.8745,0.8767,0.871,0.0,0.8735,0.0,0.8774,0.0,0.8764,0.0,0.8788,0.0,0.8764,0.0,0.8727,0.0,0.8749,0.0,0.8765,0.0,0.8729,0.0,0.8767,0.0,0.8709,0.0,0.8723,0.0,0.8682,0.0,0.8733,0.0,0.8749,0.0,0.8722,0.0,0.8622,0.0,0.8598,0.0,0.8595,0.8618
1,0.851,0.8629,0.8679,0.8706,0.871,0.8704,0.8734,0.0,0.8716,0.0,0.8743,0.0,0.8752,0.0,0.8702,0.0,0.875,0.0,0.8742,0.0,0.873,0.0,0.8706,0.0,0.8719,0.0,0.8727,0.0,0.8718,0.0,0.8717,0.0,0.8693,0.0,0.8697,0.0,0.8642,0.0,0.8639,0.0,0.8636,0.0,0.8627,0.0,0.8593,0.8581
2,0.8517,0.8619,0.865,0.8669,0.8672,0.8691,0.8715,0.0,0.871,0.0,0.8751,0.0,0.876,0.0,0.8773,0.0,0.8753,0.0,0.8742,0.0,0.8768,0.0,0.8728,0.0,0.8779,0.0,0.8779,0.0,0.8786,0.0,0.8752,0.0,0.8749,0.0,0.8795,0.0,0.8716,0.0,0.8654,0.0,0.8669,0.0,0.8633,0.0,0.8576,0.8616
3,0.8499,0.861,0.8656,0.8705,0.8688,0.871,0.8762,0.0,0.8723,0.0,0.8732,0.0,0.8743,0.0,0.8755,0.0,0.8728,0.0,0.8797,0.0,0.8773,0.0,0.8772,0.0,0.874,0.0,0.8788,0.0,0.874,0.0,0.8727,0.0,0.8761,0.0,0.8722,0.0,0.8684,0.0,0.869,0.0,0.866,0.0,0.8695,0.0,0.8659,0.8687
4,0.8507,0.8606,0.865,0.8619,0.8684,0.8687,0.8748,0.0,0.872,0.0,0.8745,0.0,0.8717,0.0,0.8764,0.0,0.8767,0.0,0.8765,0.0,0.8768,0.0,0.8768,0.0,0.8745,0.0,0.8772,0.0,0.8758,0.0,0.8742,0.0,0.8746,0.0,0.8761,0.0,0.8732,0.0,0.8725,0.0,0.8656,0.0,0.8686,0.0,0.8572,0.8589
5,0.8472,0.8579,0.8625,0.8702,0.8695,0.8742,0.8756,0.0,0.8769,0.0,0.8765,0.0,0.8797,0.0,0.8773,0.0,0.8766,0.0,0.8792,0.0,0.8756,0.0,0.8785,0.0,0.879,0.0,0.877,0.0,0.875,0.0,0.8759,0.0,0.8748,0.0,0.8751,0.0,0.8745,0.0,0.8685,0.0,0.8674,0.0,0.8654,0.0,0.862,0.8645
6,0.8476,0.8589,0.8643,0.8655,0.8694,0.8665,0.8747,0.0,0.8726,0.0,0.8723,0.0,0.8748,0.0,0.8762,0.0,0.8738,0.0,0.8743,0.0,0.8745,0.0,0.874,0.0,0.8727,0.0,0.8751,0.0,0.8708,0.0,0.8721,0.0,0.8713,0.0,0.8704,0.0,0.8722,0.0,0.8683,0.0,0.8667,0.0,0.8583,0.0,0.8554,0.8589
7,0.8502,0.8586,0.861,0.8702,0.8694,0.8765,0.8725,0.0,0.8765,0.0,0.8759,0.0,0.8725,0.0,0.8769,0.0,0.878,0.0,0.8807,0.0,0.879,0.0,0.8795,0.0,0.8783,0.0,0.8768,0.0,0.8775,0.0,0.8755,0.0,0.8776,0.0,0.878,0.0,0.8735,0.0,0.8733,0.0,0.8718,0.0,0.8647,0.0,0.8493,0.8557
8,0.8535,0.8604,0.8652,0.8706,0.8718,0.8732,0.8752,0.0,0.8762,0.0,0.8778,0.0,0.876,0.0,0.8783,0.0,0.8753,0.0,0.8722,0.0,0.876,0.0,0.8766,0.0,0.8782,0.0,0.8788,0.0,0.8775,0.0,0.8723,0.0,0.8733,0.0,0.8726,0.0,0.8739,0.0,0.8706,0.0,0.8611,0.0,0.8585,0.0,0.8499,0.8533
9,0.8467,0.86,0.8632,0.8682,0.8691,0.8688,0.8712,0.0,0.8732,0.0,0.8742,0.0,0.8737,0.0,0.8754,0.0,0.8777,0.0,0.8735,0.0,0.8741,0.0,0.8732,0.0,0.8744,0.0,0.8787,0.0,0.875,0.0,0.8709,0.0,0.8755,0.0,0.8749,0.0,0.8692,0.0,0.8739,0.0,0.8647,0.0,0.8654,0.0,0.8613,0.8597
