,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.9473,0.9584,0.9637,0.9671,0.9695,0.969,0.9696,0.0,0.9726,0.0,0.9709,0.0,0.9695,0.0,0.9699,0.0,0.9698,0.0,0.9678,0.0,0.9675,0.0,0.9636,0.0,0.9544,0.9597
1,0.9458,0.9575,0.9633,0.9648,0.967,0.9689,0.968,0.0,0.9698,0.0,0.9703,0.0,0.9682,0.0,0.968,0.0,0.9674,0.0,0.9659,0.0,0.9655,0.0,0.9605,0.0,0.9508,0.9573
2,0.9466,0.9589,0.9632,0.9677,0.9694,0.9693,0.9707,0.0,0.9733,0.0,0.9719,0.0,0.9703,0.0,0.9702,0.0,0.9704,0.0,0.9695,0.0,0.9671,0.0,0.9651,0.0,0.9501,0.9527
3,0.9433,0.9571,0.9626,0.9669,0.9674,0.9674,0.969,0.0,0.9699,0.0,0.9698,0.0,0.9691,0.0,0.9714,0.0,0.9696,0.0,0.9643,0.0,0.962,0.0,0.9611,0.0,0.9523,0.9575
4,0.9476,0.9571,0.9642,0.9673,0.9696,0.9705,0.9702,0.0,0.9683,0.0,0.9689,0.0,0.9701,0.0,0.969,0.0,0.9688,0.0,0.9681,0.0,0.9638,0.0,0.9641,0.0,0.9516,0.9587
5,0.9485,0.9614,0.9672,0.969,0.9697,0.9692,0.9713,0.0,0.9719,0.0,0.9701,0.0,0.9717,0.0,0.9714,0.0,0.9693,0.0,0.9694,0.0,0.9674,0.0,0.9625,0.0,0.9533,0.9568
6,0.9499,0.9617,0.9652,0.9691,0.9702,0.9697,0.972,0.0,0.9708,0.0,0.9714,0.0,0.9692,0.0,0.9694,0.0,0.9697,0.0,0.9703,0.0,0.9668,0.0,0.9603,0.0,0.9545,0.9578
7,0.9475,0.9601,0.9644,0.9664,0.9686,0.9694,0.9711,0.0,0.9699,0.0,0.9704,0.0,0.9701,0.0,0.9684,0.0,0.9686,0.0,0.9679,0.0,0.9665,0.0,0.9622,0.0,0.9573,0.9594
8,0.9518,0.963,0.9666,0.9703,0.9689,0.9711,0.9716,0.0,0.9719,0.0,0.9723,0.0,0.9714,0.0,0.9704,0.0,0.9725,0.0,0.9677,0.0,0.9657,0.0,0.9607,0.0,0.9549,0.9586
9,0.948,0.9625,0.9664,0.9683,0.9688,0.9707,0.9696,0.0,0.9701,0.0,0.9688,0.0,0.9712,0.0,0.9689,0.0,0.969,0.0,0.9682,0.0,0.9658,0.0,0.959,0.0,0.9568,0.9608
