,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.9489,0.959,0.9648,0.9659,0.9697,0.9701,0.9705,0.0,0.9695,0.0,0.9731,0.0,0.9699,0.0,0.9718,0.0,0.9727,0.0,0.9717,0.0,0.9715,0.0,0.9702,0.0,0.9716,0.0,0.9707,0.0,0.9697,0.0,0.9691,0.0,0.9673,0.0,0.9683,0.0,0.9649,0.0,0.9649,0.0,0.9629,0.0,0.9572,0.0,0.9482,0.954
1,0.9489,0.9594,0.9671,0.9687,0.9711,0.9699,0.9699,0.0,0.9724,0.0,0.9731,0.0,0.9717,0.0,0.972,0.0,0.9717,0.0,0.9722,0.0,0.97,0.0,0.9726,0.0,0.9694,0.0,0.9701,0.0,0.9712,0.0,0.9704,0.0,0.9687,0.0,0.9675,0.0,0.9692,0.0,0.9666,0.0,0.9681,0.0,0.9607,0.0,0.9507,0.9536
2,0.9494,0.9626,0.9648,0.9686,0.9698,0.9708,0.9704,0.0,0.9715,0.0,0.9718,0.0,0.9716,0.0,0.9727,0.0,0.9709,0.0,0.9721,0.0,0.9683,0.0,0.969,0.0,0.9694,0.0,0.9693,0.0,0.9677,0.0,0.9689,0.0,0.9662,0.0,0.9649,0.0,0.9662,0.0,0.966,0.0,0.9623,0.0,0.9577,0.0,0.9505,0.9552
3,0.9496,0.9601,0.9656,0.9689,0.9703,0.9716,0.9724,0.0,0.9733,0.0,0.9726,0.0,0.972,0.0,0.9736,0.0,0.9725,0.0,0.9727,0.0,0.9709,0.0,0.9712,0.0,0.9686,0.0,0.9711,0.0,0.9706,0.0,0.9696,0.0,0.9702,0.0,0.9687,0.0,0.9691,0.0,0.9669,0.0,0.9627,0.0,0.9571,0.0,0.9548,0.9581
4,0.9486,0.9593,0.9644,0.9654,0.9677,0.9688,0.969,0.0,0.9731,0.0,0.9729,0.0,0.9708,0.0,0.9715,0.0,0.9718,0.0,0.9703,0.0,0.9712,0.0,0.9718,0.0,0.971,0.0,0.9709,0.0,0.9681,0.0,0.9692,0.0,0.9675,0.0,0.9658,0.0,0.963,0.0,0.9622,0.0,0.9629,0.0,0.9636,0.0,0.9539,0.9577
5,0.9506,0.9633,0.9653,0.9701,0.9708,0.9718,0.9725,0.0,0.9727,0.0,0.9739,0.0,0.9734,0.0,0.9719,0.0,0.9733,0.0,0.9729,0.0,0.9723,0.0,0.9709,0.0,0.9707,0.0,0.9687,0.0,0.9693,0.0,0.9687,0.0,0.9689,0.0,0.9679,0.0,0.9681,0.0,0.9663,0.0,0.9649,0.0,0.9616,0.0,0.9548,0.9579
6,0.9489,0.9593,0.9636,0.9672,0.9677,0.9693,0.968,0.0,0.9701,0.0,0.9707,0.0,0.9708,0.0,0.9724,0.0,0.9702,0.0,0.9708,0.0,0.971,0.0,0.9685,0.0,0.9692,0.0,0.9701,0.0,0.9695,0.0,0.9689,0.0,0.9677,0.0,0.9697,0.0,0.9688,0.0,0.9672,0.0,0.9674,0.0,0.9607,0.0,0.9575,0.9604
7,0.9484,0.9568,0.964,0.9667,0.9661,0.9696,0.97,0.0,0.9715,0.0,0.9715,0.0,0.9716,0.0,0.9714,0.0,0.9734,0.0,0.9722,0.0,0.9721,0.0,0.9696,0.0,0.9708,0.0,0.9699,0.0,0.9679,0.0,0.9673,0.0,0.9655,0.0,0.9658,0.0,0.9638,0.0,0.9631,0.0,0.963,0.0,0.9603,0.0,0.9483,0.9534
8,0.9474,0.9582,0.9651,0.9671,0.97,0.9704,0.97,0.0,0.9711,0.0,0.9715,0.0,0.9714,0.0,0.9716,0.0,0.9712,0.0,0.9729,0.0,0.9704,0.0,0.9719,0.0,0.9687,0.0,0.9703,0.0,0.9666,0.0,0.9675,0.0,0.9669,0.0,0.9653,0.0,0.9661,0.0,0.9658,0.0,0.9618,0.0,0.9561,0.0,0.9517,0.9545
9,0.9475,0.9592,0.9641,0.9664,0.969,0.9715,0.9705,0.0,0.9713,0.0,0.9693,0.0,0.9716,0.0,0.9709,0.0,0.9728,0.0,0.9713,0.0,0.9703,0.0,0.9688,0.0,0.9699,0.0,0.9713,0.0,0.9688,0.0,0.9686,0.0,0.9674,0.0,0.9674,0.0,0.9675,0.0,0.9665,0.0,0.9606,0.0,0.9592,0.0,0.9466,0.9532
